address,city,state,datetime,numrounds,shotspotterflexid,lat,long
1031 N MARIPOSA ,Fresno,CA,10/18/2015 04:32:54,1,6784,36.7564570728,-119.778580045
2003 E WHITE ,Fresno,CA,10/18/2015 21:37:49,1,6791,36.7521465536,-119.787124842
460 N GLENN ,Fresno,CA,10/21/2015 19:53:10,3,6824,36.7495600092,-119.793202903
261 N CALAVERAS ,Fresno,CA,10/22/2015 01:56:52,1,6830,36.7461988416,-119.791964853
2033 E HARVEY AVE,Fresno,CA,10/24/2015 03:08:53,5,6868,36.7536529094,-119.786425501
,Fresno,CA,,1,,,
740 N BLACKSTONE ,Fresno,CA,10/27/2015 02:29:10,4,6942,36.7530921838,-119.790555120
3639 E BELMONT ,Fresno,CA,10/29/2015 00:21:49,4,6973,36.7505316814,-119.763729600
3021 E IOWA AVE,Fresno,CA,10/30/2015 20:27:11,4,6983,36.7445318847,-119.773908382
320 S CALLISCH ,Fresno,CA,10/30/2015 23:50:51,1,6988,36.7392552943,-119.775709141
2636 E BELMONT ,Fresno,CA,11/04/2015 17:43:29,3,7070,36.7501388786,-119.779601728
394 N GLENN AVE,Fresno,CA,11/08/2015 04:01:22,3,7145,36.7485373054,-119.792720671
312 E OLIVE ,Fresno,CA,11/08/2015 18:13:27,1,7157,36.7574036626,-119.808336606
637 N FERGER ,Fresno,CA,11/10/2015 23:42:50,4,7185,36.7521895825,-119.807543649
3033 E WHITE ,Fresno,CA,11/11/2015 03:15:36,1,7191,36.7515925417,-119.773789693
2981 E WHITE ,Fresno,CA,11/11/2015 22:40:37,1,7208,36.7517210595,-119.775245306
163 N SECOND ,Fresno,CA,11/14/2015 00:23:26,6,7242,36.7442046952,-119.771035585
501 E FRANKLIN ,Fresno,CA,11/18/2015 22:29:41,2,7312,36.7488046047,-119.805113899
1007 N HARRISON AVE,Fresno,CA,11/18/2015 22:12:54,1,7311,36.7557554186,-119.811141889
726 N FULTON ST,Fresno,CA,11/19/2015 18:43:04,1,7325,36.7528360949,-119.799840362
3141 E TULARE ,Fresno,CA,11/20/2015 17:23:58,1,7338,36.7432973153,-119.770940154
410 E DENNETT ,Fresno,CA,11/22/2015 00:02:35,4,7370,36.7548836958,-119.806386832
3450 E CLAY AVE,Fresno,CA,11/26/2015 18:36:41,2,7451,36.7564052544,-119.766892257
2625 E WASHINGTON,Fresno,CA,11/27/2015 22:54:08,3,7467,36.7481354816,-119.779747798
2440 E TYLER AVE,Fresno,CA,11/27/2015 03:55:02,1,7464,36.7550287274,-119.781831317
382 N GLENN AVE,Fresno,CA,11/29/2015 20:49:52,1,7505,36.7481777464,-119.793120389
3271 E CLAY AVE,Fresno,CA,12/04/2015 18:40:31,3,7555,36.7569091456,-119.769627179
3225 E TYLER AVE,Fresno,CA,12/04/2015 21:01:02,14,7559,36.7562857548,-119.770683579
1123-1199 N HARRISON AVE,Fresno,CA,12/04/2015 22:26:12,6,7561,36.7574349116,-119.810888065
3228 E OLIVE AVE,Fresno,CA,12/04/2015 01:14:58,6,7542,36.7572772911,-119.770887038
3312 E CLAY AVE,Fresno,CA,12/04/2015 20:04:27,1,7558,36.7567427394,-119.768772433
278 N CALAVERAS ST,Fresno,CA,12/04/2015 18:27:45,2,7553,36.7464466760,-119.791848953
348 N VALERIA ST,Fresno,CA,12/05/2015 00:33:23,8,7566,36.7478722945,-119.784776146
3219 E TYLER AVE,Fresno,CA,12/05/2015 03:11:43,4,7568,36.7563101076,-119.770865121
2045 E BELMONT,Fresno,CA,12/06/2015 08:24:35,7,7585,36.7508913452,-119.786354977
2045 E BELMONT,Fresno,CA,12/06/2015 08:24:35,7,7585,36.7508913452,-119.786354977
2964 E HUNTINGTON BLVD,Fresno,CA,12/07/2015 02:35:37,1,7608,36.7392929749,-119.774894249
638 N 2ND ST,Fresno,CA,12/07/2015 03:34:52,1,7609,36.7524129887,-119.770840361
2 E WHITE AVE,Fresno,CA,12/12/2015 21:46:34,4,7708,36.7516442218,-119.788008070
526 N ROOSEVELT AVE,Fresno,CA,12/13/2015 02:46:40,3,7728,36.7510294508,-119.804954773
CA-180,Fresno,CA,12/13/2015 02:46:34,3,7727,36.7541215777,-119.776677526
CA-180,Fresno,CA,12/13/2015 02:16:06,3,7725,36.7457310357,-119.806241586
904 N FRESNO ST,Fresno,CA,12/13/2015 04:07:03,1,7730,36.7547099763,-119.781125252
CA-180,Fresno,CA,12/18/2015 01:53:45,8,7787,36.7520472069,-119.788604448
501-599 E FRANKLIN AVE,Fresno,CA,12/19/2015 23:51:18,1,7830,36.7488149595,-119.804601567
532 N FERGER AVE,Fresno,CA,12/23/2015 20:20:53,2,7877,36.7508985909,-119.807306642
993 N FARRIS AVE,Fresno,CA,12/23/2015 03:00:51,1,7866,36.7555207476,-119.812229637
337 N SAN PABLO AVE,Fresno,CA,12/24/2015 12:13:06,7,7888,36.7474046777,-119.795213029
3228 E OLIVE AVE,Fresno,CA,12/25/2015 00:22:17,5,7914,36.7573114036,-119.770884632
2043 E CLAY AVE,Fresno,CA,12/25/2015 21:40:21,2,7939,36.7563833308,-119.786134431
101-199 N DIAMOND ST,Fresno,CA,12/26/2015 22:51:44,1,7954,36.7438822569,-119.778466836
3551-3599 E GRANT AVE,Fresno,CA,12/28/2015 21:18:47,5,7984,36.7486638546,-119.764427504
3014 E HUNTINGTON BLVD,Fresno,CA,12/28/2015 23:56:36,14,7986,36.7393622718,-119.773812582
3623 E GRANT AVE,Fresno,CA,12/30/2015 15:00:21,1,8016,36.7490992370,-119.763810242
,Fresno,CA,,1,,,
351 N SAN PABLO AVE,Fresno,CA,12/31/2015 20:34:42,4,8113,36.7477543954,-119.794777040
3134 E WASHINGTON AVE,Fresno,CA,12/31/2015 20:52:20,10,8134,36.7473825588,-119.771607079
436 N 3RD ST,Fresno,CA,12/31/2015 21:18:06,3,8185,36.7489072496,-119.769183506
3667 E GRANT AVE,Fresno,CA,12/31/2015 22:58:44,2,8312,36.7487366169,-119.762776469
622 N VAN NESS AVE,Fresno,CA,12/31/2015 23:58:01,10,8473,36.7517426305,-119.798344576
325 N 2ND ST,Fresno,CA,12/31/2015 23:50:14,4,8437,36.7472831210,-119.771215747
452-498 N 5TH ST,Fresno,CA,12/31/2015 22:56:19,6,8305,36.7500536807,-119.765923865
2025 E WHITE AVE,Fresno,CA,12/31/2015 22:47:16,7,8276,36.7519276806,-119.786745580
268 N U ST,Fresno,CA,12/31/2015 23:30:17,6,8373,36.7464567949,-119.780152364
2210 E HAMMOND AVE,Fresno,CA,12/31/2015 23:35:06,9,8388,36.7582591238,-119.784593089
925 N FULTON ST,Fresno,CA,01/01/2016 00:01:24,1,8485,36.7544328640,-119.800868322
2253 E OLIVE AVE,Fresno,CA,01/01/2016 00:17:00,10,8550,36.7581397595,-119.784493870
3627 E ILLINOIS AVE,Fresno,CA,01/01/2016 02:31:51,5,8586,36.7453652074,-119.763543458
CA-41,Fresno,CA,01/01/2016 03:29:03,7,8599,36.7468350207,-119.776144453
2269 E LEWIS AVE,Fresno,CA,01/01/2016 00:05:44,1,8501,36.7548097036,-119.783843095
401-449 N 4TH ST,Fresno,CA,01/01/2016 00:17:20,1,8555,36.7492604806,-119.767640757
268 N U ST,Fresno,CA,12/31/2015 23:58:19,6,8474,36.7464161701,-119.780244738
,Fresno,CA,,7,,38.7561760000,-119.786303000
632 N 3RD ST,Fresno,CA,01/01/2016 00:14:45,19,8541,36.7522107681,-119.768828789
,Fresno,CA,,9,,,
435 N VALERIA,Fresno,CA,01/01/2016 00:07:53,1,8509,36.7492113860,-119.785437982
113 N VAN NESS AVE,Fresno,CA,01/01/2016 00:08:19,5,8511,36.7443794760,-119.799415433
2251 E OLIVE AVE,Fresno,CA,01/01/2016 00:09:27,5,8518,36.7581413362,-119.784590883
1107 N WILSON AVE,Fresno,CA,01/01/2016 00:08:35,1,8513,36.7569614125,-119.806859140
1465 E PATTERSON AVE,Fresno,CA,01/01/2016 00:12:34,1,8532,36.7559864510,-119.793484882
145 N DIANA ST,Fresno,CA,01/01/2016 00:19:32,9,8561,36.7442509237,-119.787693231
2210 E HAMMOND AVE,Fresno,CA,01/01/2016 02:11:09,3,8582,36.7582382542,-119.784658543
336 N POPLAR AVE,Fresno,CA,01/01/2016 03:20:05,2,8598,36.7474712517,-119.795389945
149 N DIANA ST,Fresno,CA,01/02/2016 02:13:00,9,8675,36.7444726180,-119.787677050
3667 E GRANT AVE,Fresno,CA,01/03/2016 01:01:06,1,8710,36.7487706440,-119.762842110
144 E BELMONT AVE,Fresno,CA,01/04/2016 01:00:04,1,8735,36.7491874240,-119.809350430
250-262 N CALAVERAS ST,Fresno,CA,01/06/2016 02:27:15,2,8762,36.7461432757,-119.791870036
