Case #,Event Number,Priority,Call for Service,Labels,Event Origin,Queue,Event Status,Dispatch Area,District,Zone,Narrative Keywords,Primary Units,Involved Units,Total Units,Parent Event Number,Is Active,Is Forced Address,Disposition Code,Disposition Description,Received Date,Cleared Date,Address,Longitude,Latitude
2018-2014616,181212304,P2,1075 - SHOTS FIRED (JUST OCCURED),,Other,Dispatch Queue,Cleared,RPD,,,,3L2,"3K4, 3L17, 3L2, 3L3, S52",5,,No,Yes,RTF,REPORT TO FOLLOW,12/12/2018 18:19,12/12/2018 19:56,2646 CLINTON,,
,181213255,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"ON 32ND , NORTH OF MAC ...  10SHOTS 
",E22,"3L4, 3L5, 3L7, E22",4,,No,No,R12,SERVICE RENDERED NO CRIME,12/13/2018 17:00,12/13/2018 17:18,"32ND ST & MACDONALD AVE, 32ND ST & MACDONALD AVE, RICHMOND, CA, 94804",-122.338662,37.934468
,181213389,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,3,"GUNFIRE: 5 Rounds at 2989 Pullman Ave, Richmond, CA; December 13th 2018 23:06:27; ShotSpotter ID 63-185888; Dot (37.9285755967, -122.338550644)",1L3,"1L1, 1L3, 1L4, 1L5, 3L3, E23",6,,No,No,R23,UNABLE TO LOCATE,12/13/2018 23:08,12/13/2018 23:19,"2989 PULLMAN AVE, RICHMOND, CA, 94804",-122.342005,37.928873
,181214275,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"GUNFIRE: 12 Rounds at 121 Macdonald Ave, Richmond, CA; December 14th 2018 19:30:37; ShotSpotter ID 63-185913; Dot (37.9358060892, -122.371303303)
",,,0,181214274,No,No,,,12/14/2018 19:32,,"121 MACDONALD, 1ST ST & 2ND ST, RICHMOND, CA, 94801",-122.368472,37.935787
,181215032,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"GUNFIRE: 11 Rounds at 824 Alamo Ave, Richmond, CA; December 15th 2018 01:54:43; ShotSpotter ID 63-185928; Dot (37.9532874388, -122.360679648)",1L5,"1L1, 1L5, S76",3,,No,No,R23,UNABLE TO LOCATE,12/15/2018 1:56,12/15/2018 2:15,"824 ALAMO, RICHMOND, CA, 94801",-122.360874,37.953177
2018-2014698,181215034,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,,TOTAL OF 24 ROUNDS .. SHOOTER LS WB CHESLEY AVE IN A BLK TAHOE .. 1075 CAME IN AT 0155 HRS ,1L5,"1L1, 1L5",2,,No,Yes,RTF,REPORT TO FOLLOW,12/15/2018 2:04,12/15/2018 3:06,TRACKS / CHESLEY AVE,,
,181215263,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"1075, SHOWS 12 ROUNDS ON MARINA WAY S , JUST N OF VRIGINA ",3L2,"3L1, 3L2, 3L3, 4Z83, S55",5,,No,No,R23,UNABLE TO LOCATE,12/15/2018 17:32,12/15/2018 17:46,"MARINA WAY S & VIRGINIA AVE, MARINA WAY S & VIRGINIA AVE (MARINA WAY S & VIRGINIA), RICHMOND, CA, 94804",-122.355882,37.926597
,181218399,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"2 SHOTS
",,,0,181218398,No,No,,,12/18/2018 22:55,,"2542 HUMPHREY, 24TH ST & 26TH ST, RICHMOND, CA, 94804",-122.343773,37.94841
2018-2014866,181219261,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,,3 ROUNDS ,3L5,"3L5, 3L6, 3L7, E22",4,,No,Yes,RTF,REPORT TO FOLLOW,12/19/2018 17:59,12/19/2018 19:27,927 24TH ST,,
,181220327,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"GUNFIRE: 3 Rounds at 733 Ripley Ave, Richmond, CA; December 20th 2018 20:12:01; ShotSpotter ID 63-186295; Dot (37.9404255583, -122.362083287)",3L5,"3L5, 3L6",2,,No,No,R22,SECURITY CHECK,12/20/2018 20:13,12/20/2018 20:27,"733 RIPLEY, 7TH ST & 8TH ST, RICHMOND, CA, 94801",-122.362437,37.940444
,181222007,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"GUNFIRE: 1 Round at 111 S 6th St, Richmond, CA; December 22nd 2018 00:21:48; ShotSpotter ID 63-186338; Dot (37.930693803, -122.36381998)
",1L1,"1L1, 1L7",2,,No,No,R10,MISC. EXTRA PATROL,12/22/2018 0:23,12/22/2018 0:35,"111 S 6TH, OHIO AVE & FLORIDA AVE, RICHMOND, CA, 94804",-122.364075,37.930688
