Case #,Event Number,Priority,Call for Service,Labels,Event Origin,Queue,Event Status,Dispatch Area,District,Zone,Narrative Keywords,Primary Units,Involved Units,Total Units,Parent Event Number,Is Active,Is Forced Address,Disposition Code,Disposition Description,Received Date,Cleared Date,Address,Longitude,Latitude
2019-2006815,190608042,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"GUNFIRE: 8 Rounds at 872 23rd St, Richmond, CA; June 8th 2019 03:23:21; ShotSpotter ID 63-197088; Dot (37.9448616382298, -122.347403369967)",1L4,"1L4, 1L7, S56",3,,No,No,RTF,REPORT TO FOLLOW,6/8/2019 3:24,6/8/2019 6:13,"872 23RD ST, RICHMOND, CA, 94804",-122.347195,37.944911
,190608367,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"GUNFIRE: 5 Rounds at 410 15th S St, Richmond, CA; June 8th 2019 21:55:23; ShotSpotter ID 63-197434; Dot (37.9262911586707, -122.354543071828)",1L2,"1L2, 3L2, 3L3",3,,No,No,R23,UNABLE TO LOCATE,6/8/2019 21:56,6/8/2019 22:05,"410 S 15TH ST, at CUTTING BLVD, RICHMOND, CA, 94804",-122.354798,37.92644
,190609025,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"GUNFIRE: 2 Rounds at 603 6th St, Richmond, CA; June 9th 2019 01:39:07; ShotSpotter ID 63-197571; Dot (37.94038167644, -122.363722407524)",1L6,"1L1, 1L6, 1L7",3,,No,No,R23,UNABLE TO LOCATE,6/9/2019 1:40,6/9/2019 1:54,"603 6TH ST, RICHMOND, CA, 94801",-122.363687,37.940501
2019-2006873,190609352,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,3,"GUNFIRE: 6 Rounds at 151 33rd S St, Richmond, CA; June 9th 2019 20:52:08; ShotSpotter ID 63-197703; Dot (37.9298128020559, -122.338549938241)",1L3,"1L3, 3L2, S56",3,,No,No,RTF,REPORT TO FOLLOW,6/9/2019 20:53,6/9/2019 21:39,"151 S 33RD ST, CENTER AVE & FLORIDA AVE, RICHMOND, CA, 94804",-122.338572,37.929925
,190609391,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,5,"GUNFIRE: 1 Round at 647 Harbour Way, Richmond, CA; June 9th 2019 22:52:52; ShotSpotter ID 63-197779; Dot (37.9412290746043, -122.360062335234)",3L5,"3L5, 3L6",2,,No,No,R23,UNABLE TO LOCATE,6/9/2019 22:53,6/9/2019 23:00,"647 HARBOUR WAY, RICHMOND, CA, 94801",-122.360231,37.941257
,190609400,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,3,1075,1L3,"1L3, E26, S56",3,,No,No,R23,UNABLE TO LOCATE,6/9/2019 23:14,6/9/2019 23:24,"2810 CENTER AVE, S 27TH ST & S 29TH ST, RICHMOND, CA, 94804",-122.342735,37.930132
,190610453,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"POSSIBLE GUNFIRE: 1 Round at 1043 Presco Ln, Richmond, CA; June 10th 2019 22:35:01; ShotSpotter ID 63-197944; Dot (37.9431342597498, -122.367511711158)",1L5,"1L5, 1L6, 3L6, E23",4,,No,No,R23,UNABLE TO LOCATE,6/10/2019 22:36,6/10/2019 22:47,"1043 PRESCO LN, at HENSLEY ST, RICHMOND, CA, 94801",-122.366742,37.945157
,190612256,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,ONE SHOT ,3L2,"3K4, 3L1, 3L2, SR7",4,,No,No,R12,SERVICE RENDERED NO CRIME,6/12/2019 14:26,6/12/2019 14:40,"680 9TH ST, RIPLEY AVE & PENNSYLVANIA AVE, RICHMOND, CA, 94801",-122.360757,37.942184
,190614186,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"POSSIBLE GUNFIRE: 1 Round at 1 19th St, Richmond, CA; June 14th 2019 12:58:49; ShotSpotter ID 63-198356; Dot (37.9316603799664, -122.351558555101)",2L2,"2L2, 2L5, 2L6, S64, E31",5,,No,No,R10,MISC. EXTRA PATROL,6/14/2019 13:00,6/14/2019 13:22,"1 19TH ST, at CHANSLOR AVE, RICHMOND, CA, 94801",-122.351507,37.93154
,190615053,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,2 ROUNDS,1L4,"1L4, 1L5",2,,No,No,R23,UNABLE TO LOCATE,6/15/2019 4:42,6/15/2019 4:53,"625 18TH ST, RICHMOND, CA, 94801",-122.352747,37.940926
,190615374,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,6,"POSSIBLE GUNFIRE: 1 Round at 100 Bissell Ave, Richmond, CA; June 15th 2019 21:19:14; ShotSpotter ID 63-198747; Dot (37.9338501177411, -122.368683023865)",3L5,"3L2, 3L5",2,,No,No,R23,UNABLE TO LOCATE,6/15/2019 21:20,6/15/2019 21:32,"100 BISSELL AVE, 1ST ST & 2ND ST, RICHMOND, CA, 94801",-122.368673,37.933979
2019-2007091,190616038,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"POSSIBLE GUNFIRE: 1 Round at 35 3rd St, Richmond, CA; June 16th 2019 02:12:27; ShotSpotter ID 63-198882; Dot (37.9320088039399, -122.366839381554)",1L6,"1L1, 1L3, 1L4, 1L6, S66",5,,No,No,RTF,REPORT TO FOLLOW,6/16/2019 2:13,6/16/2019 3:52,"35 3RD ST, RICHMOND, CA, 94801",-122.36711,37.932029
2019-2007090,190616041,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"GUNFIRE: 10 Rounds at 1312 Burbeck Ave, Richmond, CA; June 16th 2019 02:25:24; ShotSpotter ID 63-198883; Dot (37.9426948785658, -122.357039759165)",1L4,"1L4, 1L7, S56",3,,No,No,RTF,REPORT TO FOLLOW,6/16/2019 2:26,6/16/2019 3:29,"1312 BURBECK AVE, at 14TH ST, RICHMOND, CA, 94801",-122.356932,37.943025
,190616327,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"POSSIBLE GUNFIRE: 1 Round at 2213 Burbeck Ave, Richmond, California; June 16th 2019 21:54:10; ShotSpotter ID 63-199056; Dot (37.9427839283028, -122.348045374899)",3L5,"1L4, 3L5",2,,No,No,R23,UNABLE TO LOCATE,6/16/2019 21:56,6/16/2019 22:07,"2213 BURBECK AVE, 22ND ST & 23RD ST, RICHMOND, CA, 94801",-122.348284,37.942848
,190617012,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,8," SPPD , OPENED UP 1075 IN ERROR ,,,,,,,,,,,,,,        SHOWS ,     845-847 BROOKSIDE DR ,,       1 ROUND ,  NFD ,        ",1L8,1L8,1,,No,No,R23,UNABLE TO LOCATE,6/17/2019 0:50,6/17/2019 1:17,"845 BROOKSIDE DR, RICHMOND, CA, 94801",-122.35752,37.964931
,190617312,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"GUNFIRE: 1 Round at 562 5th St, Richmond, CA; June 17th 2019 20:43:34; ShotSpotter ID 63-199151; Dot (37.9395370185988, -122.36440297353)",3L5,3L5,1,,No,No,R23,UNABLE TO LOCATE,6/17/2019 20:46,6/17/2019 20:58,"562 5TH ST, RICHMOND, CA, 94801",-122.364487,37.939627
,190617374,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,8,"GUNFIRE: 1 Round at 2493 Lancaster Dr, Richmond, California; June 17th 2019 23:38:00; ShotSpotter ID 63-199261; Dot (37.9758854685666, -122.339601524311)",1L8,"1L8, 1L9",2,,No,No,R23,UNABLE TO LOCATE,6/17/2019 23:40,6/17/2019 23:46,"ROBERT MILLER DR & SAN PABLO AVE, ROBERT MILLER DR & SAN PABLO AVE (RHM & SPA), RICHMOND, CA, 94806",-122.341947,37.976147
,190618025,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,6,"GUNFIRE: 1 Round at 238 Marina Way, Richmond, CA; June 18th 2019 04:32:18; ShotSpotter ID 63-199272; Dot (37.9348734108937, -122.356157093753)",,,0,,No,No,R23,UNABLE TO LOCATE,6/18/2019 4:34,6/18/2019 4:35,"238 MARINA WAY, BISSELL AVE & MACDONALD AVE, RICHMOND, CA, 94801",-122.356081,37.934718
,190619008,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,8,"GUNFIRE: 1 Round at 2801 Robert Miller Dr, Hilltop Village, CA; June 19th 2019 00:56:38; ShotSpotter ID 63-199375; Dot (37.9758269593161, -122.340457123086)",1L8,1L8,1,,No,No,R23,UNABLE TO LOCATE,6/19/2019 0:59,6/19/2019 1:09,"2801 ROBERT MILLER DR, at SAN PABLO AVE, RICHMOND, CA, 94806",-122.341821,37.97621
,190619009,P2,1075 - SHOTS FIRED (JUST OCCURED),,Other,Dispatch Queue,Cleared,RPD,,,,1L8,1L8,1,190619008,No,Yes,,,6/19/2019 0:59,,ROBERT H MILLER/SAN PABLO AVE,,
,190619146,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,4,"POSSIBLE GUNFIRE: 1 Round at 1608 Visalia Ave, Richmond, California; June 19th 2019 11:00:00; ShotSpotter ID 63-199404; Dot (37.9468821791829, -122.353767297484)",2L4,"2K5, 2L4",2,,No,No,R23,UNABLE TO LOCATE,6/19/2019 11:01,6/19/2019 11:15,"1608 VISALIA AVE, 15TH ST & 17TH ST, RICHMOND, CA, 94801",-122.354615,37.946607
,190619389,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"GUNFIRE: 2 Rounds at 531 16th St, Richmond, CA; June 19th 2019 22:04:58; ShotSpotter ID 63-199544; Dot (37.9393302951263, -122.354879002875)
",3K4,3K4,1,,No,No,R23,UNABLE TO LOCATE,6/19/2019 22:07,6/19/2019 22:54,"PORTOLA AVE & 16TH ST, PORTOLA AVE & 16TH ST, RICHMOND, CA, 94801",-122.354494,37.938822
,190620005,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,7,"GUNFIRE: 1 Round at 3829 Macdonald Ave, Richmond, CA; June 20th 2019 00:32:45; ShotSpotter ID 63-199560; Dot (37.933978279171, -122.332467602711)",1L7,1L7,1,190620006,No,No,,,6/20/2019 0:34,,"3829 MACDONALD AVE, 38TH ST & 39TH ST, RICHMOND, CA, 94805",-122.333005,37.933753
,190620006,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,7,"GUNFIRE: 1 Round at 3829 Macdonald Ave, Richmond, CA; June 20th 2019 00:32:45; ShotSpotter ID 63-199560; Dot (37.933978279171, -122.332467602711)",1L7,1L7,1,,No,No,R23,UNABLE TO LOCATE,6/20/2019 0:34,6/20/2019 0:46,"39TH ST & MACDONALD AVE, 39TH ST & MACDONALD AVE, RICHMOND, CA, 94805",-122.332464,37.933585
,190620409,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"GUNFIRE: 1 Round at 201 Nevin Ave, Richmond, CA; June 20th 2019 22:13:09; ShotSpotter ID 63-199642; Dot (37.9367761686176, -122.367797597455)",S53,"1K6, E25, S53",3,,No,No,R23,UNABLE TO LOCATE,6/20/2019 22:14,6/20/2019 22:28,"201 NEVIN AVE, 2ND ST & 3RD ST, RICHMOND, CA, 94801",-122.367675,37.936925
,190621003,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,.,1L5,"1K6, 1L5",2,,No,No,R23,UNABLE TO LOCATE,6/21/2019 0:21,6/21/2019 0:36,"3108 HUMPHREY AVE, RICHMOND, CA, 94804",-122.336921,37.948346
,190621276,P1,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,6,"GUNFIRE: 8 Rounds at 238 2nd St, Richmond, CA; June 21st 2019 18:09:46; ShotSpotter ID 63-199716; Dot (37.9348296632576, -122.367581959271)",3L6,"1L7, 3L1, 3L2, 3L6, E26, S65",6,,No,No,R23,UNABLE TO LOCATE,6/21/2019 18:10,6/21/2019 19:35,"238 2ND ST, BISSELL AVE & MACDONALD AVE, RICHMOND, CA, 94801",-122.367557,37.934697
,190621281,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,4,.,,,0,190621282,No,No,,,6/21/2019 18:27,,"1516 GARVIN AVE, RICHMOND, CA, 94801",-122.355041,37.943594
,190621284,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,4,"GUNFIRE: 9 Rounds at 1316 Lincoln Ave, Richmond, CA; June 21st 2019 18:26:16; ShotSpotter ID 63-199719; Dot (37.9457916011942, -122.356750306087); Possible Mislocated, Possible Echo, Possible duplicate",,,0,190621282,No,No,,,6/21/2019 18:28,,"1316 LINCOLN AVE, 13TH ST & 15TH ST, RICHMOND, CA, 94801",-122.357257,37.945882
,190621410,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"GUNFIRE: 8 Rounds at 1085 20th St, Richmond, CA; June 21st 2019 22:50:59; ShotSpotter ID 63-199873; Dot (37.9493142645616, -122.350326811626)",S56,"1L4, 1L7, 3L1, 3L7, S56",5,,No,No,R23,UNABLE TO LOCATE,6/21/2019 22:52,6/21/2019 23:05,"1085 20TH ST, RICHMOND, CA, 94801",-122.350292,37.949355
,190622064,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,5,"GUNFIRE: 2 Rounds at 617 Lincoln Ave, Richmond, CA; June 22nd 2019 03:50:37; ShotSpotter ID 63-199898; Dot (37.9463276004198, -122.363347870605)",S56,"E26, S56, S66",3,,No,No,R23,UNABLE TO LOCATE,6/22/2019 3:51,6/22/2019 4:10,"617 LINCOLN AVE, 6TH ST & 7TH ST, RICHMOND, CA, 94801",-122.363478,37.946222
,190622065,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"POSSIBLE GUNFIRE: 1 Round at 2742 Andrade Ave, Richmond, California; June 22nd 2019 04:22:21; ShotSpotter ID 63-199899; Dot (37.9475242793365, -122.341225818024)",1L8,1L8,1,,No,No,R23,UNABLE TO LOCATE,6/22/2019 4:23,6/22/2019 4:50,"2742 ANDRADE AVE, 26TH ST & 28TH ST, RICHMOND, CA, 94804",-122.341598,37.947689
,190626070,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"GUNFIRE: 4 Rounds at 1265 Kelsey St, Richmond, CA; June 26th 2019 07:46:20; ShotSpotter ID 63-200897; Dot (37.9516961058324, -122.364060256175)",2K5,"2K5, 2L4",2,,No,No,R23,UNABLE TO LOCATE,6/26/2019 7:47,6/26/2019 7:55,"1265 KELSEY ST, RICHMOND, CA, 94801",-122.364363,37.951681
,190626459,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"GUNFIRE: 1 Round at 1822 Gaynor Ave, Richmond, CA; June 26th 2019 22:44:58; ShotSpotter ID 63-201076; Dot (37.944443635732, -122.351566925046)",1L5,"1L4, 1L5, 3L5",3,,No,No,R23,UNABLE TO LOCATE,6/26/2019 22:46,6/26/2019 22:59,"1822 GAYNOR AVE, 18TH ST & 20TH ST, RICHMOND, CA, 94801",-122.351864,37.944454
,190627010,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,.,1L5,"1K3, 1L4, 1L5",3,,No,No,R23,UNABLE TO LOCATE,6/27/2019 1:04,6/27/2019 1:15,"605 2ND ST, RICHMOND, CA, 94801",-122.367706,37.940521
,190627013,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"GUNFIRE: 1 Round at 1924 Nevin Ave, Richmond, CA; June 27th 2019 01:13:58; ShotSpotter ID 63-201105; Dot (37.9366244351938, -122.350704390766)",1L4,"1K3, 1L4, 1L7",3,,No,No,R23,UNABLE TO LOCATE,6/27/2019 1:14,6/27/2019 1:18,"1924 NEVIN AVE, 19TH ST & 20TH ST, RICHMOND, CA, 94801",-122.351256,37.936773
,190627018,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,6,"GUNFIRE: 1 Round at 1100 Macdonald Ave, Richmond, CA; June 27th 2019 02:03:50; ShotSpotter ID 63-201108; Dot (37.935535803852, -122.358286540325)",1L6,"1L4, 1L6",2,,No,No,R23,UNABLE TO LOCATE,6/27/2019 2:05,6/27/2019 2:09,"1100 MACDONALD AVE, RICHMOND, CA, 94801",-122.358315,37.935166
2019-2007555,190627373,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,7,"GUNFIRE: 10 Rounds at 354 43rd St, Richmond, CA; June 27th 2019 21:28:36; ShotSpotter ID 63-201325; Dot (37.9339047546142, -122.328814550702)",1L7,"1L1, 1L4, 1L6, 1L7, 3K5, 3L2, 3L7, E22, S66",9,190627378,No,No,,,6/27/2019 21:29,,"354 43RD ST, MACDONALD AVE & NEVIN AVE, RICHMOND, CA, 94805",-122.328819,37.933726
,190627397,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,8,"GUNFIRE: 5 Rounds at 2320 Lancaster Dr, Richmond, CA; June 27th 2019 22:44:41; ShotSpotter ID 63-201375; Dot (37.9737622247967, -122.339030480327)",1L8,"1L8, 1L9, 3L8",3,,No,No,R23,UNABLE TO LOCATE,6/27/2019 22:46,6/27/2019 22:54,"2320 LANCASTER DR, UNNAMED STREET & ABERDEEN WAY, RICHMOND, CA, 94806",-122.34019,37.973201
,190628027,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"GUNFIRE: 7 Rounds at 200 Willard Ave, Richmond, CA; June 28th 2019 01:17:15; ShotSpotter ID 63-201412; Dot (37.9510957032371, -122.368852081531)",1L5,"1L5, 1L6",2,,No,No,R23,UNABLE TO LOCATE,6/28/2019 1:18,6/28/2019 1:33,"200 WILLARD AVE, YORK ST & FILBERT ST, RICHMOND, CA, 94801",-122.368862,37.951157
,190628033,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"GUNFIRE: 1 Round at 531 Ohio Ave, Richmond, CA; June 28th 2019 01:43:02; ShotSpotter ID 63-201416; Dot (37.9312592075405, -122.364168874897)",1L1,"1K2, 1L1, 1L3",3,,No,No,R23,UNABLE TO LOCATE,6/28/2019 1:44,6/28/2019 1:55,"531 OHIO AVE, S 5TH ST & S 6TH ST, RICHMOND, CA, 94804",-122.364667,37.930922
,190629040,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,7,also 321 39th st st 1 round,1L7,"1L3, 1L7, S66",3,,No,No,R23,UNABLE TO LOCATE,6/29/2019 1:44,6/29/2019 1:55,"3725 MACDONALD AVE, 37TH ST & 38TH ST, RICHMOND, CA, 94805",-122.333987,37.933893
,190629432,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,Outside City Limits,OCL,OCL,"POSSIBLE GUNFIRE: 5 Rounds at 1405 23rd St, Richmond, CA; June 29th 2019 23:27:50; ShotSpotter ID 63-202317; Dot (37.9542759550329, -122.347486876537)",,,0,,No,No,NPA,NO POLICE ACTION,6/29/2019 23:32,6/29/2019 23:32,"1405 23RD ST, SAN PABLO, CA, 94806",-122.347598,37.954523
,190630218,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,Outside City Limits,NORTH_RICHMOND,99, 1 SHOT ,2L5,"2L5, 3L6",2,,No,No,R23,UNABLE TO LOCATE,6/30/2019 15:12,6/30/2019 15:24,"1555 KELSEY ST, RICHMOND, CA, 94801",-122.364231,37.954756
,190630303,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,5,"GUNFIRE: 1 Round at 854 9th St, Richmond, CA; June 30th 2019 18:48:26; ShotSpotter ID 63-202430; Dot (37.9454591927547, -122.360547802219)",3L5,3L5,1,,No,No,R23,UNABLE TO LOCATE,6/30/2019 18:50,6/30/2019 19:01,"854 9TH ST, LUCAS AVE & LINCOLN AVE, RICHMOND, CA, 94801",-122.360738,37.945364
,190630366,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"GUNFIRE: 4 Rounds at 25th St, Richmond, CA; June 30th 2019 22:03:54; ShotSpotter ID 63-202680; Dot (37.9280566129353, -122.343312164064)",1L2,"1L2, 3L2",2,,No,No,R23,UNABLE TO LOCATE,6/30/2019 22:05,6/30/2019 22:13,"S 28TH ST & MAINE AVE, S 28TH ST & MAINE AVE (S 28TH & MAINE), RICHMOND, CA, 94804",-122.342877,37.927982
,190630368,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"GUNFIRE: 8 Rounds at 420 24th S St, Richmond, CA; June 30th 2019 22:04:36; ShotSpotter ID 63-202683; Dot (37.9261739138827, -122.34656102931); Possible Mislocated",1L4,"1L2, 1L3, 1L4, 1L5, 3L2",5,,No,No,R23,UNABLE TO LOCATE,6/30/2019 22:06,6/30/2019 22:15,"420 S 24TH ST, VIRGINIA AVE & CUTTING BLVD, RICHMOND, CA, 94804",-122.346572,37.926323
,190701314,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"GUNFIRE: 3 Rounds at 448 23rd S St, Richmond, CA; July 1st 2019 18:44:29; ShotSpotter ID 63-202836; Dot (37.9256637045141, -122.347637696796)",E22,"3L1, 3L2, E22",3,,No,No,R10,MISC. EXTRA PATROL,7/1/2019 18:45,7/1/2019 18:52,"S 23RD ST & CUTTING BLVD, S 23RD ST & CUTTING BLVD (S 23RD ST & CUTTING), RICHMOND, CA, 94804",-122.347663,37.925266
,190703400,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,NORTH_RICHMOND,99,2 ROUNDS ,,,0,190703402,No,No,,,7/3/2019 21:05,,"RICHMOND PKWY & W GERTRUDE AVE, RICHMOND PKWY & W GERTRUDE AVE (RICHMOND PKWY & W GERTRUDE), RICHMOND, CA, 94801",-122.373649,37.954062
,190703402,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,99,"GUNFIRE: 2 Rounds at 102 Sanford Ave, Richmond, California; July 3rd 2019 21:01:58; ShotSpotter ID 63-203996; Dot (37.9521256098706, -122.372511877045)",,,0,,No,No,NPA,NO POLICE ACTION,7/3/2019 21:06,7/3/2019 21:06,"RICHMOND PKWY & W GERTRUDE AVE, RICHMOND PKWY & W GERTRUDE AVE (RICHMOND PKWY & W GERTRUDE), COUNTY, CA, 94801",-122.373352,37.954054
,190703462,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"GUNFIRE: 4 Rounds at 682 7th St, Richmond, CA; July 3rd 2019 23:23:19; ShotSpotter ID 63-204450; Dot (37.9419633232572, -122.362194405881)",1L5,"1L5, 3K4",2,,No,No,R23,UNABLE TO LOCATE,7/3/2019 23:25,7/3/2019 23:36,"682 7TH ST, RICHMOND, CA, 94801",-122.362414,37.942001
,190704024,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"POSSIBLE GUNFIRE: 1 Round at 681 30th St, Richmond, CA; July 4th 2019 01:05:07; ShotSpotter ID 63-204583; Dot (37.9415441473913, -122.338952511581)
",1L7,1L7,1,,No,No,R23,UNABLE TO LOCATE,7/4/2019 1:06,7/4/2019 1:37,"30TH ST & GRANT AVE, 30TH ST & GRANT AVE, RICHMOND, CA, 94804",-122.33883,37.941493
,190705024,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"GUNFIRE: 8 Rounds at 574 6th St, Richmond, CA; July 5th 2019 00:57:25; ShotSpotter ID 63-206015; Dot (37.9397977721279, -122.362839316852)",1L4,"1L4, 1L5, 1L6",3,,No,No,R22,SECURITY CHECK,7/5/2019 0:58,7/5/2019 1:11,"574 6TH ST, at RIPLEY AVE, RICHMOND, CA, 94801",-122.363303,37.940021
2019-2007812,190705040,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"POSSIBLE GUNFIRE: 4 Rounds at 29 6th St, Richmond, CA; July 5th 2019 01:53:02; ShotSpotter ID 63-206056; Dot (37.931409893823, -122.363940174629)",1L5,"1K3, 1L1, 1L2, 1L4, 1L5, 1L6, 1L7, A12, E23, S53, S66",11,,No,No,R36,EVIDENCE WORK,7/5/2019 1:54,7/5/2019 6:49,"29 6TH ST, RICHMOND, CA, 94801",-122.363863,37.931634
,190705412,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"POSSIBLE GUNFIRE: 1 Round at 1125 Hensley St, Richmond, CA; July 5th 2019 22:40:58; ShotSpotter ID 63-206617; Dot (37.9492199869934, -122.363611773179)",1L5,"1L4, 1L5, S65",3,,No,No,R23,UNABLE TO LOCATE,7/5/2019 22:42,7/5/2019 22:49,"1125 HENSLEY ST, at 7TH ST, RICHMOND, CA, 94801",-122.363823,37.948773
,190706375,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"GUNFIRE: 6 Rounds at 2550 Lowell Ave, Richmond, California; July 6th 2019 22:51:05; ShotSpotter ID 63-207048; Dot (37.9491266681227, -122.343458468346)",1L7,"1L4, 1L7, 3L4, 3L5, S66",5,,No,No,R23,UNABLE TO LOCATE,7/6/2019 22:52,7/6/2019 23:02,"2550 LOWELL AVE, RICHMOND, CA, 94804",-122.343351,37.949033
,190707053,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,3,"GUNFIRE: 4 Rounds at 4307 Wall Ave, Richmond, CA; July 7th 2019 05:06:40; ShotSpotter ID 63-207156; Dot (37.9278767502373, -122.328918537858)",1L3,"1L1, 1L3",2,,No,No,R23,UNABLE TO LOCATE,7/7/2019 5:08,7/7/2019 5:22,"4307 WALL AVE, RICHMOND, CA, 94804",-122.32877,37.928059
