primary_key,date_received,time_received,district,zone,grid,municipality,county,case_type_translation,final_case_type_translation,cleared_by_translation,report_flag
SA2015190097,7/5/2015,1:15:41,2,2A,513,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,CANCEL,N
SA2015190124,7/5/2015,1:32:24,2,2B,531,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015190009,7/5/2015,:33:53,2,2B,525,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015190057,7/5/2015,:52:36,2,2B,541,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015190007,7/5/2015,:32:15,2,2B,523,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015190040,7/5/2015,:45:37,2,2B,531,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015193398,7/8/2015,10:27:27,2,2A,504,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015193125,7/8/2015,1:31:24,2,2C,603,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015193116,7/8/2015,1:13:22,2,2C,604,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,CANCEL,N
SA2015193133,7/8/2015,1:35:17,2,2C,603,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,CANCEL,N
SA2015193131,7/8/2015,1:34:32,2,2C,603,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,CANCEL,N
SA2015193115,7/8/2015,1:13:36,2,2C,604,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,CANCEL,N
SA2015194237,7/9/2015,:2:10,2,2A,504,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015194307,7/9/2015,2:05:27,2,2C,602,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015194238,7/9/2015,:2:38,2,2A,504,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,CANCEL,N
SA2015195325,7/9/2015,21:05:29,2,2B,552,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015195294,7/9/2015,20:31:01,2,2B,531,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015196565,7/10/2015,22:50:29,2,2B,544,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015195584,7/10/2015,2:12:28,2,2B,525,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015196452,7/10/2015,21:12:24,2,2B,523,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015197573,7/11/2015,22:08:31,2,2B,522,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015196763,7/11/2015,2:52:28,2,2C,602,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015198466,7/12/2015,19:48:01,2,2B,563,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015198575,7/12/2015,21:57:55,2,2B,532,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015199558,7/13/2015,23:26:33,2,2A,514,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015198686,7/13/2015,:10:11,2,2B,552,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015200635,7/14/2015,23:50:09,2,2B,531,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015200760,7/15/2015,4:45:31,2,2B,563,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015203940,7/17/2015,22:26:13,2,2B,553,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015203934,7/17/2015,22:21:59,2,2B,541,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015203053,7/17/2015,2:49:26,2,2B,521,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
