Type,Respond ID,Date,Time,Address,Zone,Rounds,CAD ID,Beat,District,Latitude,Longitude
Multiple Gunshots,99-184885,1/26/20,16:58:25,"2654 Kelley Ave, San Pablo, CA 94806",SanPabloCA,5,20-2715,1,,37.96967035,-122.3512489
Probable Gunfire,99-184767,1/26/20,12:39:29,"1851 Espanola Dr, San Pablo, CA 94806",SanPabloCA,1,20-2690,1,,37.97905751,-122.3440989
Multiple Gunshots,99-184490,1/26/20,1:13:03,"170 Westgate Cir, San Pablo, CA 94806",SanPabloCA,6,20-2655,1,,37.96774433,-122.3559965
Multiple Gunshots,99-184486,1/26/20,1:12:46,"2924 14th St, San Pablo, CA 94806",SanPabloCA,6,20-2655,1,,37.97400138,-122.3492817
Multiple Gunshots,99-184488,1/26/20,1:12:45,"2901 16th St, San Pablo, CA 94806",SanPabloCA,10,20-2655,1,,37.97330385,-122.3481073
Multiple Gunshots,99-184487,1/26/20,1:12:45,"2668 Giant Rd, San Pablo, CA 94806",SanPabloCA,7,20-2655,1,,37.97067428,-122.3551772
Multiple Gunshots,99-184485,1/26/20,1:12:43,"3018 11th St, San Pablo, CA 94806",SanPabloCA,8,20-2655,1,,37.97530923,-122.3512946
Probable Gunfire,99-184056,1/22/20,11:10:39,"100 Austin Ct, San Pablo, CA 94806",SanPabloCA,1,S20-2215,1,,37.97211971,-122.3406231
Single Gunshot,99-184018,1/21/20,1:49:35,"1484 Rumrill Blvd, San Pablo, CA 94806",SanPabloCA,1,20-2084,3,,37.95471352,-122.356909
Multiple Gunshots,99-183969,1/19/20,21:12:45,"2819 20th St, San Pablo, CA 94806",SanPabloCA,3,20-1988,1,,37.970892,-122.3457247
Multiple Gunshots,99-183968,1/19/20,21:12:37,"2819 20th St, San Pablo, CA 94806",SanPabloCA,2,20-1988,1,,37.97084508,-122.3456103
Multiple Gunshots,99-183967,1/19/20,21:12:37,"2819 20th St, San Pablo, CA 94806",SanPabloCA,2,20-1988,1,,37.97087342,-122.3456093
Single Gunshot,99-183966,1/19/20,21:12:27,"2805 20th St, San Pablo, CA 94806",SanPabloCA,1,20-1988,1,,37.97079551,-122.3453924
