Type,ID,Date,Time,Rnds,Beat,DISPO,returned address,Latitude,Longitude
,,15-Jan-13,20:47:49,5,,,"119 Dakota St, San Francisco, CA 94107, USA",37.75416074,-122.3955268
,,16-Jan-13,1:18:31,1,,,"3211 24th St, San Francisco, CA 94110, USA",37.75209258,-122.4167826
,,16-Jan-13,17:45:30,1,,,"820 Larch Way, San Francisco, CA 94115, USA",37.78165958,-122.4279275
,,16-Jan-13,1:18:31,1,,,"3211 24th St, San Francisco, CA 94110, USA",37.75211352,-122.4166679
,,17-Jan-13,2:15:34,2,,,"160 Napoleon St, San Francisco, CA 94124, USA",37.74758357,-122.3974913
Multiple_Gunshots,27086,18-Jan-13,1:54:09,8,,,"Yellow Cab Access Rd, San Francisco, CA 94124, USA",37.75165914,-122.3948196
,,18-Jan-13,20:06:15,2,,,"2337-2369 San Bruno Ave, San Francisco, CA 94134, USA",37.73324544,-122.4060718
,,18-Jan-13,22:59:34,1,,,"325 Octavia St, San Francisco, CA 94102, USA",37.77484772,-122.4246979
,,18-Jan-13,1:54:06,8,,,"168 Dakota St, San Francisco, CA 94107, USA",37.75302185,-122.3954347
,,19-Jan-13,22:56:47,2,,,"96 Balmy St, San Francisco, CA 94110, USA",37.75105776,-122.4123837
,,19-Jan-13,2:12:49,7,,,"579 Potrero Ave, San Francisco, CA 94110, USA",37.7623274,-122.4069341
,,19-Jan-13,22:57:10,2,,,"30-98 Lucky St, San Francisco, CA 94110, USA",37.75174385,-122.4135332
,,19-Jan-13,23:24:19,1,,,"3447 18th St, San Francisco, CA 94110, USA",37.76169733,-122.4204643
,,19-Jan-13,1:49:47,7,,,"750 Eddy St, San Francisco, CA 94109, USA",37.78312298,-122.4199547
,,19-Jan-13,4:16:26,10,,,"1201 Golden Gate Ave, San Francisco, CA 94115, USA",37.77962591,-122.4305444
,,19-Jan-13,23:37:26,1,,,"US-101, San Francisco, CA 94103, USA",37.77153559,-122.4232156
,,19-Jan-13,22:56:48,6,,,"3126 25th St, San Francisco, CA 94110, USA",37.75109828,-122.4124568
Multiple_Gunshots,27131,20-Jan-13,22:55:21,4,,,"410 Hawes St, San Francisco, CA 94124, USA",37.73417878,-122.3764903
,,20-Jan-13,23:01:48,3,,,"2857 22nd St, San Francisco, CA 94110, USA",37.75563446,-122.4115191
,,20-Jan-13,15:18:01,3,,,"1426 Van Dyke Ave, San Francisco, CA 94124, USA",37.72760644,-122.3889726
,,20-Jan-13,21:20:48,11,,,"912 Hamilton St, San Francisco, CA 94134, USA",37.71964879,-122.4072555
,,20-Jan-13,20:41:41,8,,,"1200 Buchanan St, San Francisco, CA 94115, USA",37.78111545,-122.4286002
,,21-Jan-13,1:36:16,6,,,"3125-3149 25th St, San Francisco, CA 94110, USA",37.75098142,-122.4123562
,,21-Jan-13,1:36:15,6,,,"3120 25th St, San Francisco, CA 94110, USA",37.75103733,-122.4122709
,,21-Jan-13,19:09:17,2,,,"1176-1198 Buchanan St, San Francisco, CA 94115, USA",37.78091715,-122.4287798
,,21-Jan-13,1:34:07,1,,,"1027 Connecticut St, San Francisco, CA 94107, USA",37.75392889,-122.3968731
Single_Gunshot,27141,23-Jan-13,13:31:37,1,,,"2053-2099 McKinnon Ave, San Francisco, CA 94124, USA",37.74071047,-122.3982194
,,23-Jan-13,1:57:39,8,,,"56 Camp St, San Francisco, CA 94110, USA",37.76405,-122.4238997
,,23-Jan-13,23:59:47,1,,,"1550-1560 Folsom St, San Francisco, CA 94103, USA",37.77138321,-122.414703
,,23-Jan-13,13:31:37,1,,,"I-280, San Francisco, CA 94124, USA",37.74054732,-122.3991643
,,24-Jan-13,18:01:01,1,,,"1101 Brussels St, San Francisco, CA 94134, USA",37.71859607,-122.4020252
,,24-Jan-13,3:23:37,10,,,"1492 Jackson St, San Francisco, CA 94109, USA",37.79439086,-122.4196695
Single_Gunshot,27144,25-Jan-13,17:38:59,1,,,"87 Industrial St, San Francisco, CA 94124, USA",37.73942179,-122.4013115
Multiple_Gunshots,27145,25-Jan-13,19:20:12,5,,,"1198-1298 Carroll Ave, San Francisco, CA 94124, USA",37.72171299,-122.3873946
Single_Gunshot,27146,25-Jan-13,22:03:51,1,,,"2031 Lane St, San Francisco, CA 94124, USA",37.72929284,-122.39204
,,26-Jan-13,3:53:18,3,,,"Bayshore Blvd & US-101 & 3rd St, San Francisco, CA, USA",37.71979185,-122.3987021
,,26-Jan-13,18:27:41,2,,,"2901 3rd St, San Francisco, CA 94107, USA",37.7525752,-122.3870868
,,27-Jan-13,1:56:17,1,,,"186 Appleton Ave, San Francisco, CA 94110, USA",37.73778638,-122.4213694
,,27-Jan-13,0:49:03,4,,,"1413 15th St, San Francisco, CA 94103, USA",37.76687592,-122.4161613
,,27-Jan-13,3:26:59,12,,,"1748 Sunnydale Ave, San Francisco, CA 94134, USA",37.7128402,-122.4192917
,,27-Jan-13,22:14:39,4,,,"500 Sawyer St, San Francisco, CA 94134, USA",37.71156418,-122.415161
,,28-Jan-13,2:13:01,1,,,"510 Talbert St, Daly City, CA 94014, USA",37.70569818,-122.4089312
,,30-Jan-13,0:37:43,1,,,"130 Randall St, San Francisco, CA 94131, USA",37.74006238,-122.4261957
,,30-Jan-13,0:37:52,1,,,"1883 Church St, San Francisco, CA 94131, USA",37.74023346,-122.426277
,,30-Jan-13,0:39:20,1,,,"1-31 Valley St, San Francisco, CA 94110, USA",37.744707,-122.4229198
,,30-Jan-13,0:58:31,1,,,"3286 23rd St, San Francisco, CA 94110, USA",37.75392245,-122.4184895
,,30-Jan-13,0:55:17,1,,,"332 S Van Ness Ave, San Francisco, CA 94103, USA",37.76782527,-122.4179075
,,30-Jan-13,20:54:18,5,,,"1250 Golden Gate Ave, San Francisco, CA 94115, USA",37.77984836,-122.4310029
,,30-Jan-13,0:38:17,1,,,"59-65 Chenery St, San Francisco, CA 94131, USA",37.74043839,-122.425635
Multiple_Gunshots,27165,2-Feb-13,2:46:16,10,,,"1811 Newcomb Ave, San Francisco, CA 94124, USA",37.73746564,-122.3941364
,,2-Feb-13,21:10:54,1,,,"1185 Treat Ave, San Francisco, CA 94110, USA",37.75129186,-122.4125127
,,2-Feb-13,1:28:22,1,,,"1800 Sunnydale Ave, San Francisco, CA 94134, USA",37.71297043,-122.41992
,,2-Feb-13,21:51:56,2,,,"1400-1450 Mansell St, San Francisco, CA 94134, USA",37.71817972,-122.4152301
