Type,"Respond ID",Date,Time,Address,Zone,Rounds,"CAD ID",Beat,District,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Multiple Gunshots",661-163148,12/31/20,23:22:53,"800 blk Q St, Bakersfield, CA 93304",BakersfieldCA,11,20-240142,BP234,Metro,35.364418,-119.010678,1,range_interpolation,800,"Q St",,,Bakersfield,CA,"Kern County",93304,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-163144,12/31/20,23:22:08,"1200 blk Virginia Ave, Bakersfield, CA 93307",BakersfieldCA,4,20-240143,BP327,Metro,35.361356,-118.989284,1,range_interpolation,1200,"Virginia Ave",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-163143,12/31/20,23:21:59,"1200 blk Virginia Ave, Bakersfield, CA 93307",BakersfieldCA,32,20-240143,BP327,Metro,35.361356,-118.989284,1,range_interpolation,1200,"Virginia Ave",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-163139,12/31/20,23:21:24,"800 blk Q St, Bakersfield, CA 93304",BakersfieldCA,6,20-240142,BP234,Metro,35.364418,-119.010678,1,range_interpolation,800,"Q St",,,Bakersfield,CA,"Kern County",93304,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-163108,12/31/20,23:15:15,"300 blk Tyree Toliver St, Bakersfield, CA 93307",BakersfieldCA,10,20-240136,BP327,Metro,35.359549,-118.98889,1,rooftop,300,"Tyree Toliver St",,,Bakersfield,CA,"Kern County",93307,US,"Kern (Kern County)"
"Multiple Gunshots",661-163101,12/31/20,23:13:30,"1507 E 11th St, Bakersfield, CA 93307",BakersfieldCA,2,20-240132,BP326,Metro,35.367382,-118.988349,1,rooftop,1507,"E 11th St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-163082,12/31/20,23:09:49,"300 blk Tyree Toliver St, Bakersfield, CA 93307",BakersfieldCA,8,20-240131,BP327,Metro,35.359549,-118.98889,1,rooftop,300,"Tyree Toliver St",,,Bakersfield,CA,"Kern County",93307,US,"Kern (Kern County)"
"Multiple Gunshots",661-163077,12/31/20,23:08:44,"1500 blk E 11th St, Bakersfield, CA 93307",BakersfieldCA,7,20-240129,BP326,Metro,35.3677,-118.987755,1,range_interpolation,1500,"E 11th St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-163028,12/31/20,23:00:13,"700 blk Terrace Way, Bakersfield, CA 93304",BakersfieldCA,7,20-240127,BP236,Valley,35.350491,-119.010025,1,rooftop,700,"Terrace Way",,,Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-162997,12/31/20,22:56:00,"200 blk Tyree Toliver St, Bakersfield, CA 93307",BakersfieldCA,3,20-240118,BP327,Metro,35.357729,-118.988274,0.9,nearest_rooftop_match,201,"Tyree Toliver St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-162973,12/31/20,22:52:01,"700 blk Terrace Way, Bakersfield, CA 93304",BakersfieldCA,7,20-240115,BP236,Valley,35.350491,-119.010025,1,rooftop,700,"Terrace Way",,,Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-162968,12/31/20,22:51:13,"200 blk Tyree Toliver St, Bakersfield, CA 93307",BakersfieldCA,4,20-240116,BP327,Metro,35.357729,-118.988274,0.9,nearest_rooftop_match,201,"Tyree Toliver St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-162959,12/31/20,22:49:28,"300 blk Tyree Toliver St, Bakersfield, CA 93307",BakersfieldCA,10,20-240111,BP327,Metro,35.359549,-118.98889,1,rooftop,300,"Tyree Toliver St",,,Bakersfield,CA,"Kern County",93307,US,"Kern (Kern County)"
"Multiple Gunshots",661-162957,12/31/20,22:48:57,"1200 blk Virginia Ave, Bakersfield, CA 93307",BakersfieldCA,24,20-240112,BP327,Metro,35.361356,-118.989284,1,range_interpolation,1200,"Virginia Ave",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-162926,12/31/20,22:42:43,"1600 blk E Brundage Ln, Bakersfield, CA 93307",BakersfieldCA,10,20-240107,BP328,Valley,35.354143,-118.981745,1,range_interpolation,1600,"E Brundage Ln",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-162919,12/31/20,22:40:53,"100 blk S Owens St, Bakersfield, CA 93307",BakersfieldCA,3,20-240102,BP327,Metro,35.355902,-118.991115,1,rooftop,100,"S Owens St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-162918,12/31/20,22:40:42,"100 blk S Owens St, Bakersfield, CA 93307",BakersfieldCA,3,20-240102,BP327,Metro,35.355902,-118.991115,1,rooftop,100,"S Owens St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-162915,12/31/20,22:40:15,"100 blk Northrup St, Bakersfield, CA 93307",BakersfieldCA,11,20-240101,BP327,Metro,35.355904,-118.989694,1,range_interpolation,100,"Northrup St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-162906,12/31/20,22:38:57,"100 blk S Owens St, Bakersfield, CA 93307",BakersfieldCA,18,20-240100,BP327,Metro,35.355902,-118.991115,1,rooftop,100,"S Owens St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-162888,12/31/20,22:34:46,"300 blk Whitlock St, Bakersfield, CA 93307",BakersfieldCA,4,20-240097,BP322,Metro,35.359396,-118.99524,1,range_interpolation,300,"Whitlock St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-162880,12/31/20,22:33:44,"300 blk S King St, Bakersfield, CA 93307",BakersfieldCA,6,20-240095,BP322,Metro,35.359505,-118.994115,1,range_interpolation,300,"S King St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Probable Gunfire",661-162811,12/31/20,22:20:13,"700 blk E 3rd St, Bakersfield, CA 93307",BakersfieldCA,1,20-240082,BP322,Metro,35.359653,-118.996073,1,rooftop,700,"E 3rd St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-162745,12/31/20,22:07:03,"300 blk Kincaid St, Bakersfield, CA 93307",BakersfieldCA,6,20-240075,BP327,Metro,35.359516,-118.993154,1,rooftop,300,"Kincaid St",,,Bakersfield,CA,"Kern County",93307,US,"Kern (Kern County)"
"Multiple Gunshots",661-162684,12/31/20,21:55:37,"100 blk Clifton St, Bakersfield, CA 93307",BakersfieldCA,8,20-240067,BP327,Metro,35.355956,-118.986686,1,rooftop,100,"Clifton St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
