Type,"Respond ID",Date,Time,Address,Zone,Rounds,"CAD ID",Beat,District,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Probable Gunfire",661-138662,10/29/20,6:52:52,"1100 blk Niles St, Bakersfield, CA 93305",BakersfieldCA,1,20-200102,BP303,Metro,35.380682,-118.984588,1,rooftop,1100,"Niles St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-138647,10/29/20,1:39:53,"800 blk Oregon St, Bakersfield, CA 93305",BakersfieldCA,1,20-200024,BP303,Metro,35.382777,-118.988874,1,rooftop,800,"Oregon St",,,Bakersfield,CA,"Kern County",93305,US,"Kern (Kern County)"
"Probable Gunfire",661-138606,10/28/20,19:45:12,"800 blk Dr Martin Luther King Jr Blvd, Bakersfield, CA 93307",BakersfieldCA,3,199877,BP326,Metro,35.365089,-118.985408,1,rooftop,800,"Martin Luther King Jr Blvd",,,Bakersfield,CA,"Kern County",93307,US,"Kern (Kern County)"
"Multiple Gunshots",661-138303,10/26/20,22:45:17,"200 blk Clyde St, Bakersfield, CA 93307",BakersfieldCA,4,20-198597,BP327,Metro,35.357726,-118.987721,1,rooftop,200,"Clyde St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-138302,10/26/20,22:26:32,"200 blk Clyde St, Bakersfield, CA 93307",BakersfieldCA,4,20-198593,BP327,Metro,35.357726,-118.987721,1,rooftop,200,"Clyde St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-138273,10/26/20,18:39:46,"1000 blk Flower St, Bakersfield, CA 93305",BakersfieldCA,1,20-198494,,,35.38528,-118.984907,1,range_interpolation,1000,"Flower St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Single Gunshot",661-138176,10/26/20,2:07:10,"1300 blk Baker St, Bakersfield, CA 93305",BakersfieldCA,1,20-198017,BP303,Metro,35.382696,-118.991644,1,rooftop,1300,"Baker St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-138154,10/25/20,21:15:57,"500 blk T St, Bakersfield, CA 93304",BakersfieldCA,17,20-197916,BP234,Metro,35.361846,-119.007047,1,rooftop,500,"T St",,,Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-138149,10/25/20,20:21:17,"100 blk Bliss St, Bakersfield, CA 93307",BakersfieldCA,1,20-197888,BP322,Metro,35.355853,-118.999099,1,range_interpolation,100,"Bliss St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Probable Gunfire",661-137994,10/25/20,2:18:38,"600 blk California Ave, Bakersfield, CA 93304",BakersfieldCA,6,20-197443,BP233,Metro,35.36807,-119.008619,0.9,nearest_rooftop_match,601,"California Ave",,,Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-137992,10/25/20,2:02:25,"500 blk Butte St, Bakersfield, CA 93305",BakersfieldCA,8,20-197435,BP320,Metro,35.370513,-118.998353,1,rooftop,500,"Butte St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-137763,10/23/20,22:19:04,"1400 blk Miller St, Bakersfield, CA 93305",BakersfieldCA,7,20-196623,BP303,Metro,35.381085,-118.981572,1,rooftop,1400,"Miller St",,,Bakersfield,CA,"Kern County",93305,US,"Kern (Kern County)"
"Single Gunshot",661-137747,10/23/20,21:13:56,"1500 blk Pacific St, Bakersfield, CA 93305",BakersfieldCA,1,20-196597,BP305,Metro,35.381346,-118.977664,1,rooftop,1500,"Pacific St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-137700,10/23/20,17:20:49,"200 blk Dr Martin Luther King Jr Blvd, Bakersfield, CA 93307",BakersfieldCA,2,20-196435,BP332,Metro,35.357836,-118.984975,0.9,nearest_rooftop_match,201,"Martin Luther King Jr Blvd",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-137697,10/23/20,17:11:46,"1200 blk Potomac Ave, Bakersfield, CA 93307",BakersfieldCA,15,20-196430,BP326,Metro,35.36499,-118.989911,0.9,range_interpolation,1200,"E Potomac Ave",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Single Gunshot",661-137686,10/23/20,15:40:18,"1300 blk Dolores St, Bakersfield, CA 93305",BakersfieldCA,1,20-196378,BP325,Metro,35.369609,-118.985179,1,rooftop,1300,"Dolores St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-137321,10/20/20,23:04:55,"800 blk Q St, Bakersfield, CA 93304",BakersfieldCA,7,20-194533,BP234,Metro,35.364418,-119.010678,1,range_interpolation,800,"Q St",,,Bakersfield,CA,"Kern County",93304,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-137320,10/20/20,23:04:37,"800 blk Q St, Bakersfield, CA 93304",BakersfieldCA,5,20-194533,BP234,Metro,35.364418,-119.010678,1,range_interpolation,800,"Q St",,,Bakersfield,CA,"Kern County",93304,US,"TIGER/Line® dataset from the US Census Bureau"
"Probable Gunfire",661-137299,10/20/20,20:09:24,"1400 blk Kentucky St, Bakersfield, CA 93305",BakersfieldCA,2,20-194452,BP306,Metro,35.376415,-118.981363,1,range_interpolation,1400,"Kentucky St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Probable Gunfire",661-137189,10/20/20,5:29:43,"1100 blk Dolores St, Bakersfield, CA 93305",BakersfieldCA,1,20-193968,BP325,Metro,35.370347,-118.988271,1,rooftop,1100,"Dolores St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Probable Gunfire",661-137120,10/19/20,20:22:53,"900 blk Chester Ave, Bakersfield, CA 93301",BakersfieldCA,1,20-193817,BP225,Metro,35.365792,-119.01847,1,rooftop,900,"Chester Ave",,,Bakersfield,CA,"Kern County",93301,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-137087,10/19/20,19:16:20,"300 blk Niles Pl, Bakersfield, CA 93305",BakersfieldCA,1,20-193776,BP300,Metro,35.382964,-118.997022,1,rooftop,300,"Niles Pl",,,Bakersfield,CA,"Kern County",93305,US,"Kern (Kern County)"
"Single Gunshot",661-136969,10/19/20,2:00:58,"700 blk Baker St, Bakersfield, CA 93305",BakersfieldCA,1,20-193307,BP304,Metro,35.374945,-118.993631,1,range_interpolation,700,"Baker St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Single Gunshot",661-136936,10/18/20,21:46:26,"300 blk E Brundage Ln, Bakersfield, CA 93307",BakersfieldCA,1,20-193208,BP323,Valley,35.354155,-118.999791,1,rooftop,300,"E Brundage Ln",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-136793,10/18/20,4:13:57,"1200 blk Niles St, Bakersfield, CA 93305",BakersfieldCA,9,20-192752,BP303,Metro,35.380387,-118.983013,1,rooftop,1200,"Niles St",,,Bakersfield,CA,"Kern County",93305,US,"Kern (Kern County)"
"Probable Gunfire",661-136773,10/18/20,1:57:26,"400 blk Dolores St, Bakersfield, CA 93305",BakersfieldCA,3,20-192711,BP320,Metro,35.372891,-118.999398,1,range_interpolation,400,"Dolores St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Probable Gunfire",661-136772,10/18/20,1:56:55,"400 blk Dolores St, Bakersfield, CA 93305",BakersfieldCA,1,20-192711,BP320,Metro,35.372891,-118.999398,1,range_interpolation,400,"Dolores St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Probable Gunfire",661-136427,10/16/20,4:01:53,"1300 blk Murdock St, Bakersfield, CA 93307",BakersfieldCA,1,20-191219,BP326,Metro,35.362394,-118.988377,1,rooftop,1300,"Murdock St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-136360,10/15/20,20:55:51,"900 blk Dr Martin Luther King Jr Blvd, Bakersfield, CA 93307",BakersfieldCA,5,20-191015,BP326,Metro,35.365993,-118.985587,1,rooftop,900,"Martin Luther King Jr Blvd",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-136354,10/15/20,19:48:35,"800 blk Monterey St, Bakersfield, CA 93305",BakersfieldCA,5,20-190978,BP304,Metro,35.380773,-118.989586,1,rooftop,800,"Monterey St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-136348,10/15/20,19:06:46,"300 blk S King St, Bakersfield, CA 93305",BakersfieldCA,11,20-190948,BP321,Metro,35.370355,-118.993593,1,range_interpolation,300,"King St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-136122,10/13/20,22:12:29,"300 blk Dr Martin Luther King Jr Blvd, Bakersfield, CA 93307",BakersfieldCA,9,20-189680,BP332,Metro,35.351024,-118.985705,0.9,rooftop,300,"S Martin Luther King Jr Blvd",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-136121,10/13/20,22:12:15,"300 blk Dr Martin Luther King Jr Blvd, Bakersfield, CA 93307",BakersfieldCA,1,20-189680,BP332,Metro,35.351024,-118.985705,0.9,rooftop,300,"S Martin Luther King Jr Blvd",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-134946,10/12/20,19:44:22,"1000 blk Wallace St, Bakersfield, CA 93307",BakersfieldCA,1,20-188944,BP321,Metro,35.366659,-119.001725,1,range_interpolation,1000,"Wallace St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-134928,10/12/20,18:20:40,"700 blk E 11th St, Bakersfield, CA 93307",BakersfieldCA,3,20-188890,BP321,Metro,35.367628,-118.995911,1,range_interpolation,700,"E 11th St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-134907,10/12/20,16:47:26,"1200 blk Baker St, Bakersfield, CA 93305",BakersfieldCA,2,20-188821,BP304,Metro,35.381306,-118.991658,1,rooftop,1200,"Baker St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-134754,10/11/20,20:48:34,"100 blk Union Ave, Bakersfield, CA 93307",BakersfieldCA,2,20-188283,BP235,Metro,35.356935,-119.002833,1,range_interpolation,100,"Union Ave",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Probable Gunfire",661-134680,10/11/20,16:55:02,"500 blk Dr Martin Luther King Jr Blvd, Bakersfield, CA 93307",BakersfieldCA,3,20-188172,BP331,Metro,35.362311,-118.985495,1,rooftop,500,"Martin Luther King Jr Blvd",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-134657,10/11/20,14:43:44,"1400 blk E 9th St, Bakersfield, CA 93307",BakersfieldCA,10,20-188093,BP326,Metro,35.365987,-118.987373,1,rooftop,1400,"E 9th St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-134601,10/11/20,4:54:28,"30 blk Monterey St, Bakersfield, CA 93305",BakersfieldCA,3,20-187878,BP300,Metro,35.383023,-119.002003,1,range_interpolation,30,"Monterey St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Single Gunshot",661-134567,10/11/20,0:53:55,"2500 blk Union Ave, Bakersfield, CA 93305",BakersfieldCA,1,20-187770,BP243,Metro,35.382289,-119.002733,1,range_interpolation,2500,"Union Ave",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-134505,10/10/20,19:50:46,"1100 blk L St, Bakersfield, CA 93304",BakersfieldCA,13,20-187518,BP231,Metro,35.367303,-119.01646,1,range_interpolation,1100,"L St",,,Bakersfield,CA,"Kern County",93304,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-134386,10/10/20,4:14:18,"500 blk Niles St, Bakersfield, CA 93305",BakersfieldCA,6,20-187065,BP303,Metro,35.382888,-118.993885,1,rooftop,500,"Niles St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-134352,10/9/20,22:32:55,"600 blk N St, Bakersfield, CA 93304",BakersfieldCA,19,20-186907,BP231,Metro,35.362818,-119.014002,1,rooftop,600,"N St",,,Bakersfield,CA,"Kern County",93304,US,"Kern (Kern County)"
"Probable Gunfire",661-134035,10/7/20,19:42:47,"1000 blk Miller St, Bakersfield, CA 93305",BakersfieldCA,1,20-185415,BP304,Metro,35.376876,-118.98306,1,rooftop,1000,"Miller St",,,Bakersfield,CA,"Kern County",93305,US,"Kern (Kern County)"
"Probable Gunfire",661-134032,10/7/20,19:39:39,"600 blk 4th St, Bakersfield, CA 93304",BakersfieldCA,1,20-185413,BP235,Metro,35.360982,-119.008438,1,rooftop,600,"4th St",,,Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-133952,10/7/20,3:45:36,"200 blk  S King St, Bakersfield, CA 93307",BakersfieldCA,1,20-184930,BP327,Metro,35.357738,-118.994355,1,rooftop,200,"S King St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-133938,10/6/20,23:38:55,"500 blk 6th St, Bakersfield, CA 93304",BakersfieldCA,1,20-184882,BP234,Metro,35.362517,-119.007268,1,range_interpolation,500,"6th St",,,Bakersfield,CA,"Kern County",93304,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-133855,10/6/20,6:49:22,"Dr. Martin Luther King, Jr. Park, 1000 blk S Owens St, Bakersfield, CA 93307",BakersfieldCA,10,.20-184307,BP326,Metro,35.367035,-118.991624,1,rooftop,1000,"S Owens St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-133840,10/6/20,3:24:46,"1500 blk Quincy St, Bakersfield, CA 93305",BakersfieldCA,1,20-184261,BP305,Metro,35.382451,-118.977223,1,rooftop,1500,"Quincy St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-133746,10/5/20,16:19:57,"1400 blk 2nd St, Bakersfield, CA 93304",BakersfieldCA,1,20-183962,BP232,Metro,35.357109,-119.017325,1,range_interpolation,1400,"2nd St",,,Bakersfield,CA,"Kern County",93304,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-133740,10/5/20,15:16:44,"400 blk Eye St, Bakersfield, CA 93304",BakersfieldCA,4,20-183924,BP225,Metro,35.360981,-119.019763,1,rooftop,400,"Eye St",,,Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-133679,10/5/20,1:33:12,"1100 blk Owens St, Bakersfield, CA 93305",BakersfieldCA,1,20-183547,BP304,Metro,35.379029,-118.987137,1,range_interpolation,1100,"Owens St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Probable Gunfire",661-133656,10/4/20,23:03:26,"400 blk Gage St, Bakersfield, CA 93305",BakersfieldCA,1,20-183482,BP325,Metro,35.370366,-118.988773,1,rooftop,400,"Gage St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-133638,10/4/20,21:47:28,"1200 blk 4th St, Bakersfield, CA 93304",BakersfieldCA,5,20-183449,BP232,Metro,35.360928,-119.015117,1,range_interpolation,1200,"4th St",,,Bakersfield,CA,"Kern County",93304,US,"TIGER/Line® dataset from the US Census Bureau"
"Single Gunshot",661-133583,10/4/20,16:10:12,"200 blk Wood St, Bakersfield, CA 93307",BakersfieldCA,1,20-183274,BP322,Metro,35.357639,-119.001184,1,rooftop,200,"Wood St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Probable Gunfire",661-133413,10/3/20,18:49:55,"700 blk 9th St, Bakersfield, CA 93304",BakersfieldCA,1,20-182657,BP234,Metro,35.36573,-119.009743,1,rooftop,700,"9th St",,,Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-133298,10/3/20,5:21:44,"30 blk L St, Bakersfield, CA 93304",BakersfieldCA,1,20-182295,BP232,Metro,35.354877,-119.016306,1,rooftop,30,"L St",,,Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-133282,10/3/20,1:44:32,"1400 blk Eureka St, Bakersfield, CA 93305",BakersfieldCA,1,20-182236,BP330,Metro,35.370295,-118.983257,1,rooftop,1400,"Eureka St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-133278,10/3/20,1:15:50,"1000 blk Haley St, Bakersfield, CA 93305",BakersfieldCA,2,20-182223,BP306,Metro,35.376415,-118.981363,1,range_interpolation,1000,"Haley St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Single Gunshot",661-133275,10/3/20,1:01:32,"800 blk L St, Bakersfield, CA 93304",BakersfieldCA,1,20-182216,BP231,Metro,35.364739,-119.016326,1,rooftop,800,"L St",,,Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-133130,10/2/20,4:19:36,"1200 blk E California Ave, Bakersfield, CA 93307",BakersfieldCA,3,20-181512,BP325,Metro,35.368623,-118.987502,1,range_interpolation,1200,"E California Ave",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Probable Gunfire",661-133129,10/2/20,4:18:20,"1100 blk Chico St, Bakersfield, CA 93305",BakersfieldCA,2,20-181513,BP325,Metro,35.369245,-118.988957,1,range_interpolation,1100,"Chico St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-132996,10/1/20,1:00:19,"1400 blk Oregon St, Bakersfield, CA 93305",BakersfieldCA,3,180715,BP303,Metro,35.380562,-118.979583,1,rooftop,1400,"Oregon St",,,Bakersfield,CA,"Kern County",93305,US,"Kern (Kern County)"
"Multiple Gunshots",661-132979,9/30/20,22:32:47,"100 blk 8th St, Bakersfield, CA 93304",BakersfieldCA,4,20-180650,BP234,Metro,35.364398,-119.002951,1,range_interpolation,100,"8th St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Probable Gunfire",661-132820,9/30/20,0:50:29,"1300 blk Texas St, Bakersfield, CA 93307",BakersfieldCA,2,20-180067,BP327,Metro,35.357725,-118.988582,1,range_interpolation,1300,"Texas St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-132817,9/30/20,0:41:58,"1400 blk Murdock St, Bakersfield, CA 93307",BakersfieldCA,2,20-180062,BP326,Metro,35.3624,-118.987369,1,rooftop,1400,"Murdock St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-132729,9/29/20,9:35:59,"300 blk Chester Ave, Bakersfield, CA 93301",BakersfieldCA,2,20-179507,BP226,Metro,35.359057,-119.018603,1,rooftop,300,"Chester Ave",,,Bakersfield,CA,"Kern County",93301,US,"City of Bakersfield (City of Bakersfield)"
"Probable Gunfire",661-132699,9/29/20,5:10:21,"400 blk Union Ave, Bakersfield, CA 93307",BakersfieldCA,1,20-179393,BP321,Metro,35.361131,-119.002964,1,range_interpolation,400,"Union Ave",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-132645,9/28/20,23:09:28,"1300 blk Haley St, Bakersfield, CA 93305",BakersfieldCA,4,20-179313,BP303,Metro,35.379581,-118.980233,1,range_interpolation,1300,"Haley St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Single Gunshot",661-132591,9/28/20,19:09:56,"1200 blk Baker St, Bakersfield, CA 93305",BakersfieldCA,1,20-179191,BP304,Metro,35.381306,-118.991658,1,rooftop,1200,"Baker St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Probable Gunfire",661-132360,9/27/20,6:50:36,"100 blk Tyree Toliver St, Bakersfield, CA 93307",BakersfieldCA,1,20-178095,BP327,Metro,35.355929,-118.988803,1,rooftop,100,"Tyree Toliver St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-132264,9/26/20,21:00:50,"800 blk Chico St, Bakersfield, CA 93305",BakersfieldCA,1,177815,BP320,Metro,35.370355,-118.993593,1,range_interpolation,800,"Chico St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Probable Gunfire",661-132112,9/26/20,0:04:19,"200 blk 1/2 E 5th St, Bakersfield, CA 93307",BakersfieldCA,1,20-177213,BP321,Metro,35.361732,-119.001797,1,range_interpolation,200,"E 5th St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Single Gunshot",661-132110,9/25/20,23:38:46,"400 blk S Haley St, Bakersfield, CA 93305",BakersfieldCA,1,20-177192,BP331,Metro,35.369445,-118.984026,1,rooftop,400,"Haley St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-132006,9/25/20,13:47:46,"400 blk T St, Bakersfield, CA 93304",BakersfieldCA,1,20-176834,BP234,Metro,35.360968,-119.007063,1,rooftop,400,"T St",,,Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-131922,9/24/20,21:24:42,"1000 blk Chester Ave, Bakersfield, CA 93301",BakersfieldCA,3,20-176419,BP225,Metro,35.366675,-119.018563,1,rooftop,1000,"Chester Ave",,,Bakersfield,CA,"Kern County",93301,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-131796,9/23/20,21:56:31,"600 blk Eye St, Bakersfield, CA 93304",BakersfieldCA,3,20-175697,BP225,Metro,35.362549,-119.020112,1,range_interpolation,600,"Eye St",,,Bakersfield,CA,"Kern County",93304,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-131751,9/23/20,18:56:23,"300 blk S King St, Bakersfield, CA 93305",BakersfieldCA,8,20-175593,BP326,Metro,35.370355,-118.993593,1,range_interpolation,300,"King St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Single Gunshot",661-131736,9/23/20,16:23:20,"1100 blk Gage St, Bakersfield, CA 93305",BakersfieldCA,1,20-175498,BP304,Metro,35.378487,-118.985299,0.9,nearest_rooftop_match,1101,"Gage St",,,Bakersfield,CA,"Kern County",93305,US,"Kern (Kern County)"
"Multiple Gunshots",661-131723,9/23/20,14:39:49,"200 blk Union Ave, Bakersfield, CA 93307",BakersfieldCA,4,20-175427,BP235,Metro,35.357933,-119.002579,1,rooftop,200,"Union Ave",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-131722,9/23/20,14:39:40,"200 blk V St, Bakersfield, CA 93304",BakersfieldCA,9,20-175427,BP235,Metro,35.357596,-119.004916,1,range_interpolation,200,"V St",,,Bakersfield,CA,"Kern County",93304,US,"TIGER/Line® dataset from the US Census Bureau"
"Probable Gunfire",661-131680,9/23/20,4:15:35,"1300 blk Flower St, Bakersfield, CA 93305",BakersfieldCA,1,20-175059,,,35.384104,-118.979989,1,rooftop,1300,"Flower St",,,Bakersfield,CA,"Kern County",93305,US,"Kern (Kern County)"
"Single Gunshot",661-131644,9/22/20,22:03:53,"1100 blk Owens St, Bakersfield, CA 93305",BakersfieldCA,1,20-174915,BP304,Metro,35.379029,-118.987137,1,range_interpolation,1100,"Owens St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Single Gunshot",661-131530,9/22/20,3:52:49,"1400 blk Miller St, Bakersfield, CA 93305",BakersfieldCA,1,20-174351,BP303,Metro,35.381085,-118.981572,1,rooftop,1400,"Miller St",,,Bakersfield,CA,"Kern County",93305,US,"Kern (Kern County)"
"Probable Gunfire",661-131411,9/21/20,8:45:26,"300 blk Beale Ave, Bakersfield, CA 93305",BakersfieldCA,1,20-173795,BP320,Metro,35.410686,-119.0257,1,rooftop,300,"Belle Ave",,,Bakersfield,CA,"Kern County",93308,US,"Kern (Kern County)"
"Probable Gunfire",661-131227,9/20/20,1:00:35,"600 blk R St, Bakersfield, CA 93304",BakersfieldCA,2,20-173081,BP234,Metro,35.36284,-119.00929,1,rooftop,600,"R St",,,Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-131226,9/20/20,1:00:27,"600 blk R St, Bakersfield, CA 93304",BakersfieldCA,6,20-173082,BP234,Metro,35.36284,-119.00929,1,rooftop,600,"R St",,,Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-131207,9/19/20,22:24:20,"400 blk S King St, Bakersfield, CA 93307",BakersfieldCA,5,20-172972,BP326,Metro,35.361334,-118.994109,1,range_interpolation,400,"S King St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Single Gunshot",661-131039,9/19/20,1:07:56,"1400 blk Pacific St, Bakersfield, CA 93305",BakersfieldCA,1,20-172307,BP303,Metro,35.38167,-118.979213,1,rooftop,1400,"Pacific St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-130981,9/18/20,19:43:31,"700 blk L St, Bakersfield, CA 93304",BakersfieldCA,2,20-172145,BP231,Metro,35.363717,-119.016228,1,rooftop,700,"L St",,,Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield (City of Bakersfield)"
"Probable Gunfire",661-130888,9/17/20,23:28:16,"20 blk Brundage Ln, Bakersfield, CA 93304",BakersfieldCA,4,20-171585,BP235,Metro,35.353984,-119.00309,1,range_interpolation,20,"Brundage Ln",,,Bakersfield,CA,"Kern County",93304,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-130885,9/17/20,23:27:12,"10 blk Dr Martin Luther King Jr Blvd, Bakersfield, CA 93307",BakersfieldCA,5,20-171586,BP328,Valley,35.355935,-118.985502,0.81,nearest_rooftop_match,102,"Martin Luther King Jr Blvd",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
