address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1826 Cutting Blvd",Richmond,CA,37.924898,-122.351456,1,rooftop,1826,"Cutting Blvd",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"628 40th St",Richmond,CA,37.938679,-122.330174,1,rooftop,628,"40th St",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"1831 Barrett Ave",Richmond,CA,37.93868,-122.3517,1,rooftop,1831,"Barrett Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"683 9th St",Richmond,CA,37.941897,-122.36113,1,rooftop,683,"9th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"315 Nevin Ave",Richmond,CA,37.937012,-122.366285,1,rooftop,315,"Nevin Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"235 4th St",Richmond,CA,37.934758,-122.365962,1,rooftop,235,"4th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"526 Florida Ave",Richmond,CA,37.929215,-122.364294,1,rooftop,526,"Florida Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"13TH S St",Richmond,CA,37.943919,-122.357671,1,street_center,,"13th St",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"509 Florida Ave",Richmond,CA,37.929653,-122.364617,1,rooftop,509,"Florida Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"622 5th St",Richmond,CA,37.940796,-122.364352,1,rooftop,622,"5th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1300 Roosevelt Ave",Richmond,CA,37.939804,-122.357119,1,range_interpolation,1300,"Roosevelt Ave",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"519 Florida Ave",Richmond,CA,37.929652,-122.364464,1,rooftop,519,"Florida Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"2208 Potrero Ave",Richmond,CA,37.923721,-122.348191,1,rooftop,2208,"Potrero Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"18TH St",Richmond,CA,37.944186,-122.351925,1,street_center,,"18th St",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"101 12th S St",Richmond,CA,37.932615,-122.358073,1,range_interpolation,101,"12th St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"35 11th St",Richmond,CA,37.931933,-122.3593,1,rooftop,35,"11th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"2922 Groom Dr",Richmond,CA,37.830119,-121.914302,0.67,nearest_rooftop_match,2950,"Deer Meadow Dr",,,Danville,CA,"Contra Costa County",94506,US,"Contra Costa County"
"29 6th St",Richmond,CA,37.931917,-122.364235,1,rooftop,29,"6th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"3030 Avon Ln",Richmond,CA,37.965222,-122.3252,0.86,rooftop,3030,"Avon Ln",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"149 6th S St",Richmond,CA,37.933245,-122.363901,1,range_interpolation,149,"6th St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"12500 San Pablo Ave",Richmond,CA,37.940691,-122.327212,1,rooftop,12500,"San Pablo Ave",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"234 12th S St",Richmond,CA,37.934632,-122.357747,1,range_interpolation,234,"12th St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"100 Ohio W Ave",Richmond,CA,37.930629,-122.368736,1,rooftop,100,"Ohio Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"325 16th S St",Richmond,CA,37.927505,-122.354285,0.9,rooftop,325,"S 16th St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"729 18th St",Richmond,CA,37.942659,-122.352346,1,rooftop,729,"18th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"SILVER Ave",Richmond,CA,37.957278,-122.366419,1,street_center,,"Silver Ave",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"1764 Hillcrest Rd",Richmond,CA,37.958568,-122.325777,0.9,rooftop,1764,"Hillcrest Rd",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"3001 Tulare Ave",Richmond,CA,37.951534,-122.337944,1,rooftop,3001,"Tulare Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"5TH St",Richmond,CA,37.943519,-122.36419,1,street_center,,"5th St",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"1747 Coalinga Ave",Richmond,CA,37.947627,-122.352691,1,rooftop,1747,"Coalinga Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"12981 San Pablo Ave",Richmond,CA,37.948688,-122.331732,1,rooftop,12981,"San Pablo Ave",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"6050 Ralston Ave",Richmond,CA,37.947016,-122.320778,1,rooftop,6050,"Ralston Ave",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"1759 Beau Rivage Ave",Richmond,CA,37.958914,-121.96394,0.61,nearest_rooftop_match,1671,"Baio Ln",,,Concord,CA,"Contra Costa County",94521,US,"Contra Costa County"
"5939 Clement Ave",Richmond,CA,37.956623,-122.323613,0.9,rooftop,5939,"Clement Ave",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"3055 Avon Ln",Richmond,CA,37.965926,-122.32534,0.86,rooftop,3055,"Avon Ln",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"33 Willard Ave",Richmond,CA,37.951457,-122.369738,1,rooftop,33,"Willard Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1613 25th St",Richmond,CA,37.955633,-122.344807,0.9,rooftop,1613,"25th St",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"2701 Andrade Ave",Richmond,CA,37.948005,-122.34208,1,rooftop,2701,"Andrade Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"527 Florida Ave",Richmond,CA,37.929656,-122.364335,1,rooftop,527,"Florida Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"1120 24th St",Richmond,CA,37.949672,-122.345085,1,rooftop,1120,"24th St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"1171 34th St",Richmond,CA,37.950827,-122.334763,1,rooftop,1171,"34th St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"5049 Glenn Ave",Richmond,CA,37.949726,-122.330626,1,rooftop,5049,"Glenn Ave",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"21-23 11th St",Richmond,CA,37.931797,-122.3593,0.9,nearest_rooftop_match,21,"11th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"329 16th S St",Richmond,CA,37.927401,-122.354284,0.9,rooftop,329,"S 16th St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"126 19th St",Richmond,CA,37.93307,-122.351111,1,rooftop,126,"19th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"3001 16th St",Richmond,CA,37.974689,-122.347129,0.9,rooftop,3001,"16th St",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"1355 Kelsey St",Richmond,CA,37.952985,-122.364503,1,rooftop,1355,"Kelsey St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"315 25th St",Richmond,CA,37.935708,-122.34558,1,rooftop,315,"25th St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"442 Duboce Ave",Richmond,CA,37.952473,-122.365059,1,rooftop,442,"Duboce Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"2575 Moyers Rd",Richmond,CA,37.968103,-122.329117,0.9,rooftop,2575,"Moyers Rd",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"1625-1629 Portola Ave",Richmond,CA,37.938806,-122.353781,0.9,nearest_rooftop_match,1625,"Portola Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"17 19th St",Richmond,CA,37.931838,-122.351675,1,rooftop,17,"19th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"470 Garrard Blvd",Richmond,CA,37.938141,-122.371459,1,rooftop,470,"Garrard Blvd",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1836-40 Rumrill Blvd",Richmond,CA,37.959524,-122.356312,0.8,nearest_rooftop_match,1836,"Rumrill Blvd",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"618 Lucas Ave",Richmond,CA,37.944219,-122.36296,1,rooftop,618,"Lucas Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"2005 Potrero Ave",Richmond,CA,37.924128,-122.350049,1,rooftop,2005,"Potrero Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"400 17th S St",Richmond,CA,37.926451,-122.352761,0.9,rooftop,400,"S 17th St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"270 22nd S Ave",Richmond,CA,37.935267,-122.348412,1,range_interpolation,270,"22nd St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"315 23rd S St",Richmond,CA,37.935881,-122.347696,1,range_interpolation,315,"23rd St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"14 19th St",Richmond,CA,37.931734,-122.35111,1,rooftop,14,"19th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"926 7th St",Richmond,CA,37.946729,-122.362454,1,rooftop,926,"7th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"446 25th S St",Richmond,CA,37.937262,-122.344908,1,range_interpolation,446,"25th St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"915 55th S St",Richmond,CA,37.919293,-122.318348,0.9,rooftop,915,"S 55th St",,,"El Cerrito",CA,"Contra Costa County",94530,US,"Contra Costa County"
"2735 Ohio Ave",Richmond,CA,37.931102,-122.342972,1,rooftop,2735,"Ohio Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"600 4th S St",Richmond,CA,37.940493,-122.365591,1,rooftop,600,"4th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"312 Barrett Ave",Richmond,CA,37.938193,-122.366272,1,rooftop,312,"Barrett Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"4TH St",Richmond,CA,37.939895,-122.365939,1,street_center,,"4th St",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"2581 El Portal Dr D",Richmond,CA,37.964276,-122.337326,0.9,rooftop,2581,"El Portal Dr",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"2415 Wendell Ave",Richmond,CA,37.94575,-122.34504,1,rooftop,2415,"Wendell Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"2221 Potrero Ave",Richmond,CA,37.924184,-122.347896,1,rooftop,2221,"Potrero Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"676 2nd St",Richmond,CA,37.9419,-122.367289,1,rooftop,676,"2nd St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"445 25th S St",Richmond,CA,37.937283,-122.345209,1,range_interpolation,445,"25th St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"NO NEARBY ADDRESS",Richmond,CA,37.947523,-122.384032,1,place,,,,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"23RD St",Richmond,CA,37.944844,-122.347321,1,street_center,,"23rd St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"418 23rd St",Richmond,CA,37.937257,-122.347226,1,rooftop,418,"23rd St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"2100 Cutting Blvd",Richmond,CA,37.924897,-122.349269,1,rooftop,2100,"Cutting Blvd",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"1924 14th St",Richmond,CA,37.96056,-122.355133,0.9,rooftop,1924,"14th St",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"121 Macdonald Ave",Richmond,CA,37.936311,-122.370651,1,rooftop,121,"Macdonald Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"316 3rd S St",Richmond,CA,37.935881,-122.366518,1,range_interpolation,316,"3rd St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"CASTRO St",Richmond,CA,37.928538,-122.387183,1,street_center,,"Castro St",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"233 Grove Ave",Richmond,CA,37.956388,-122.367154,1,rooftop,233,"Grove Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"2328 Dover Ave",Richmond,CA,37.958216,-122.346281,0.9,rooftop,2328,"Dover Ave",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"5060 Kirk Ln",Richmond,CA,37.950982,-122.331003,1,rooftop,5060,"Kirk Ln",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"2300 Macdonald Ave",Richmond,CA,37.935432,-122.34719,1,rooftop,2300,"Macdonald Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"1503 Pine Ave",Richmond,CA,37.955106,-122.354887,0.9,rooftop,1503,"Pine Ave",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"1701 Costa Ave",Richmond,CA,37.950571,-122.353643,0.9,rooftop,1701,"Costa Ave",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"900 Virginia Ave",Richmond,CA,37.926408,-122.36084,1,rooftop,900,"Virginia Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"CUTTING Blvd",Richmond,CA,37.925042,-122.347229,1,street_center,,"Cutting Blvd",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"3033 Birmingham Dr",Richmond,CA,37.825428,-121.918186,0.7,nearest_rooftop_match,3034,"Deer Meadow Dr",,,Danville,CA,"Contra Costa County",94506,US,"Contra Costa County"
"1601 6th St",Richmond,CA,37.95639,-122.362617,1,rooftop,1601,"6th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"NO Address",Richmond,CA,37.947523,-122.384032,1,place,,,,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"1544-1546 6th St",Richmond,CA,37.955853,-122.362144,0.9,nearest_rooftop_match,1544,"6th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"353 7th St",Richmond,CA,37.936678,-122.363088,1,rooftop,353,"7th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"NEVIN Ave",Richmond,CA,37.935997,-122.342299,1,street_center,,"Nevin Ave",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"610 Grove Ave",Richmond,CA,37.956018,-122.362144,1,rooftop,610,"Grove Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"555 Grove Ave",Richmond,CA,37.95639,-122.362746,1,rooftop,555,"Grove Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1621 6th St",Richmond,CA,37.956604,-122.362704,1,rooftop,1621,"6th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"6TH St",Richmond,CA,37.943517,-122.363322,1,street_center,,"6th St",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"1320 51st S St",Richmond,CA,37.913441,-122.325797,1,rooftop,1320,"S 51st St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"3627 Cutting Blvd",Richmond,CA,37.925602,-122.334578,1,rooftop,3627,"Cutting Blvd",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"828 13th St",Richmond,CA,37.944402,-122.357271,1,rooftop,828,"13th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1701 Barrett Ave",Richmond,CA,37.938676,-122.353292,1,rooftop,1701,"Barrett Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"2805 Greenwood Dr",Richmond,CA,37.966203,-122.332026,0.9,rooftop,2805,"Greenwood Dr",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"1532 Truman St",Richmond,CA,37.955246,-122.365753,1,rooftop,1532,"Truman St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1534 Truman St",Richmond,CA,37.955419,-122.365753,1,rooftop,1534,"Truman St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"175 23rd St",Richmond,CA,37.933742,-122.348102,1,rooftop,175,"23rd St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"221 Gertrude Ave",Richmond,CA,37.954187,-122.368347,1,rooftop,221,"Gertrude Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"2029 Nevin Ave",Richmond,CA,37.937085,-122.349743,1,rooftop,2029,"Nevin Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"339-349 21st St",Richmond,CA,37.936624,-122.349879,0.9,nearest_rooftop_match,339,"21st St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"SANFORD Ave",Richmond,CA,37.952112,-122.366328,1,street_center,,"Sanford Ave",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"2938 Chevy Way",Richmond,CA,37.964645,-122.329242,0.9,rooftop,2938,"Chevy Way",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"1076-1078 13th St",Richmond,CA,37.949056,-122.356924,0.9,nearest_rooftop_match,1076,"13th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1063 13th St",Richmond,CA,37.94842,-122.357559,1,rooftop,1063,"13th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"5434 Burlingame Ave",Richmond,CA,37.909197,-122.31564,1,rooftop,5434,"Burlingame Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"5431 Santa Cruz Ave",Richmond,CA,37.906498,-122.313906,1,rooftop,5431,"Santa Cruz Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"4201 Rosewood Ave",Richmond,CA,37.920641,-122.330441,1,rooftop,4201,"Rosewood Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"1150 Brookside Dr",Richmond,CA,37.963761,-122.356802,0.9,rooftop,1150,"Brookside Dr",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"1336 Emeric Ave",Richmond,CA,37.953938,-122.35595,0.9,rooftop,1336,"Emeric Ave",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"101 Market St",Richmond,CA,37.958472,-122.368494,1,rooftop,101,"Market St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"2009 Dunn Ave",Richmond,CA,37.949049,-122.34984,1,rooftop,2009,"Dunn Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1 19th St",Richmond,CA,37.931665,-122.351674,1,rooftop,1,"19th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1622 4th St",Richmond,CA,37.956613,-122.364853,1,rooftop,1622,"4th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1600 Rumrill Blvd",Richmond,CA,37.956168,-122.356512,0.9,rooftop,1600,"Rumrill Blvd",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"3100 Shane Dr",Richmond,CA,37.974785,-122.328437,0.9,rooftop,3100,"Shane Dr",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"2229-2235 Macdonald Ave",Richmond,CA,37.935981,-122.347777,0.9,nearest_rooftop_match,2229,"Macdonald Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"694 9th St",Richmond,CA,37.942344,-122.360701,1,rooftop,694,"9th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1777 Sanford Ave",Richmond,CA,37.951253,-122.351915,0.88,nearest_rooftop_match,1801,"Sanford Ave",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"1800 Wilcox Ave",Richmond,CA,37.951548,-122.351916,0.9,rooftop,1800,"Wilcox Ave",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"1630 Pennsylvania Ave",Richmond,CA,37.94187,-122.353631,1,rooftop,1630,"Pennsylvania Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"3743 Esmond Ave",Richmond,CA,37.945324,-122.331057,1,rooftop,3743,"Esmond Ave",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"12800-818 San Pablo Ave",Richmond,CA,37.945954,-122.329725,0.9,nearest_rooftop_match,12800,"San Pablo Ave",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"850 23rd St",Richmond,CA,37.944588,-122.347123,1,rooftop,850,"23rd St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"677 28th St",Richmond,CA,37.942059,-122.340791,1,rooftop,677,"28th St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"HILLTOP Mall Rd",Richmond,CA,37.947523,-122.384032,0.5,place,,,,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"2989 Pullman Ave",Richmond,CA,37.928354,-122.340754,1,rooftop,2989,"Pullman Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"331-333 21st St",Richmond,CA,37.93637,-122.349859,0.9,nearest_rooftop_match,331,"21st St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"433 Nevin Ave",Richmond,CA,37.937001,-122.364891,1,rooftop,433,"Nevin Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"NEVIN W Ave",Richmond,CA,37.935997,-122.342299,1,street_center,,"Nevin Ave",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"431 1st St",Richmond,CA,37.937513,-122.369061,1,rooftop,431,"1st St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"228 33rd S St",Richmond,CA,37.933811,-122.337849,1,range_interpolation,228,"33rd St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"411 37th S St",Richmond,CA,37.935694,-122.333968,1,range_interpolation,411,"37th St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"VERNON Ave",Richmond,CA,37.950459,-122.370822,1,street_center,,"Vernon Ave",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"PORTOLA Ave",Richmond,CA,37.941834,-122.356664,1,street_center,,"Portola Ave",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"510-518 16th St",Richmond,CA,37.93882,-122.354169,0.9,nearest_rooftop_match,510,"16th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"2401 Gaynor Ave",Richmond,CA,37.944594,-122.345315,1,rooftop,2401,"Gaynor Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"508 Silver Ave",Richmond,CA,37.957195,-122.363916,1,rooftop,508,"Silver Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"2988 20th St",Richmond,CA,37.973901,-122.34381,0.9,rooftop,2988,"20th St",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"13220 San Pablo Ave",Richmond,CA,37.95235,-122.33202,1,rooftop,13220,"San Pablo Ave",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"901 34th St",Richmond,CA,37.945387,-122.334754,1,rooftop,901,"34th St",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"1411 Rumrill Blvd",Richmond,CA,37.953256,-122.358003,0.9,rooftop,1411,"Rumrill Blvd",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"1900 7th St",Richmond,CA,37.960443,-122.360638,1,rooftop,1900,"7th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"CHESLEY Ave",Richmond,CA,37.954587,-122.363114,1,street_center,,"Chesley Ave",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"319 Chesley Ave",Richmond,CA,37.954953,-122.366566,1,rooftop,319,"Chesley Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"405 22nd S St",Richmond,CA,37.936929,-122.348708,1,range_interpolation,405,"22nd St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"5873 Clinton Ave",Richmond,CA,37.942802,-122.316897,1,rooftop,5873,"Clinton Ave",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"1917 Church Ln",Richmond,CA,37.957671,-122.341639,0.9,rooftop,1917,"Church Ln",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"1033 Ohio Ave",Richmond,CA,37.930989,-122.359299,1,rooftop,1033,"Ohio Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"100 23rd S St",Richmond,CA,37.932441,-122.347242,1,rooftop,100,"23rd St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"2016 Macdonald Ave",Richmond,CA,37.934216,-122.350003,1,rooftop,2016,"Macdonald Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"161 18th St",Richmond,CA,37.933582,-122.352632,1,rooftop,161,"18th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"BERK Ave",Richmond,CA,37.92434,-122.331533,1,street_center,,"Berk Ave",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"4220 Barrett Ave",Richmond,CA,37.935578,-122.328861,1,rooftop,4220,"Barrett Ave",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"2041 Factory St",Richmond,CA,37.947069,-122.369979,1,rooftop,2041,"Factory St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"9TH S St",Richmond,CA,37.936257,-122.361056,1,street_center,,"9th St",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"1413 Lincoln Ave",Richmond,CA,37.946202,-122.356072,1,rooftop,1413,"Lincoln Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"607 Mc Laughlin St",Richmond,CA,37.937605,-122.325277,1,rooftop,607,"Mc Laughlin St",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
