address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1500 Maine Ave",Richmond,CA,37.927849,-122.35464,1,rooftop,1500,"Maine Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"552 18th St",Richmond,CA,37.939437,-122.352192,1,rooftop,552,"18th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"260 20th S St",Richmond,CA,37.928304,-122.350061,0.9,rooftop,260,"S 20th St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"4809 Wall Ave",Richmond,CA,37.92878,-122.32446,1,rooftop,4809,"Wall Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"910 Bissell Ave",Richmond,CA,37.933837,-122.360609,1,rooftop,910,"Bissell Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"2947 Rollingwood Dr",Richmond,CA,37.830115,-121.913522,0.7,nearest_rooftop_match,2945,"Deer Meadow Dr",,,Danville,CA,"Contra Costa County",94506,US,"Contra Costa County"
"546 23rd St",Richmond,CA,37.939254,-122.347172,1,rooftop,546,"23rd St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"818 Lucas Ave",Richmond,CA,37.944208,-122.361231,1,rooftop,818,"Lucas Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"3013 Rheem Ave",Richmond,CA,37.950109,-122.337679,1,rooftop,3013,"Rheem Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"2849 Gaynor Ave",Richmond,CA,37.944612,-122.339859,1,rooftop,2849,"Gaynor Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"1011 47th S St",Richmond,CA,37.918295,-122.327974,0.95,rooftop,1011,"S 47th St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"601 Harbour Way",Richmond,CA,37.940564,-122.36026,1,rooftop,601,"Harbour Way",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"144 20th S St",Richmond,CA,37.933012,-122.350282,1,range_interpolation,144,"20th St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"5013 Wall Ave",Richmond,CA,37.928645,-122.322473,1,rooftop,5013,"Wall Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"111-113 Macdonald Ave",Richmond,CA,37.935953,-122.368173,0.9,nearest_rooftop_match,113,"Macdonald Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"422 Alamo Ave",Richmond,CA,37.953158,-122.365485,1,rooftop,422,"Alamo Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
