address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1537 E EIGHTH ST",Stockton,CA,37.932012,-121.264128,1,rooftop,1537,"E 8th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2005 S SAN JOAQUIN ST",Stockton,CA,37.931666,-121.281608,1,rooftop,2005,"S San Joaquin St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2452 S AIRPORT WY",Stockton,CA,37.928001,-121.265203,1,rooftop,2452,"S Airport Way",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1631 E SIXTH ST",Stockton,CA,37.935802,-121.263639,1,range_interpolation,1631,"E 6th St",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"1629 E SIXTH ST",Stockton,CA,37.935791,-121.263742,1,range_interpolation,1629,"E 6th St",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"2511 VIVA PZ",Stockton,CA,37.927544,-121.263377,1,rooftop,2511,"Viva Pz",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"210 E MARTIN LUTHER KING BL",Stockton,CA,37.938973,-121.28429,1,rooftop,210,"E Martin Luther King Jr Blvd",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1637 E SEVENTH ST",Stockton,CA,37.934067,-121.261156,1,rooftop,1637,"E 7th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"19 MOSSWOOD AV",Stockton,CA,37.924471,-121.281711,1,rooftop,19,"Mosswood Ave",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"217 W FOURTH ST",Stockton,CA,37.933306,-121.288884,1,rooftop,217,"W 4th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1642 S CALIFORNIA ST",Stockton,CA,37.936497,-121.27954,1,rooftop,1642,"S California St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1719 BENEDINO CI",Stockton,CA,37.926099,-121.258362,1,rooftop,1719,"Benedino Cir",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1660 S AMERICAN ST",Stockton,CA,37.936416,-121.27827,1,rooftop,1660,"S American St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1649 E EIGHTH ST",Stockton,CA,37.932895,-121.260297,1,rooftop,1649,"E 8th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2126 PHELPS ST",Stockton,CA,37.931889,-121.265631,1,rooftop,2126,"Phelps St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"350 W THIRD ST",Stockton,CA,37.933189,-121.291897,1,rooftop,350,"W 3rd St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1729 S AMERICAN ST",Stockton,CA,37.935631,-121.278733,1,rooftop,1729,"S American St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"S STOCKTON ST/W SECOND ST",Stockton,CA,37.934759,-121.299877,1,intersection,,"S Stockton St",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"722 E THIRD ST",Stockton,CA,37.936405,-121.27666,1,rooftop,722,"E 3rd St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"227 E MARTIN LUTHER KING BL",Stockton,CA,37.939533,-121.283974,1,rooftop,227,"E Martin Luther King Jr Blvd",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2005 OPHIR ST",Stockton,CA,37.933875,-121.268631,1,rooftop,2005,"Ophir St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"404 W EIGHTH ST",Stockton,CA,37.927392,-121.290283,1,rooftop,404,"W 8th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"41 MOSSWOOD AV",Stockton,CA,37.92436,-121.282102,1,rooftop,41,"Mosswood Ave",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1515 ARRIBA RD",Stockton,CA,37.929005,-121.263879,1,rooftop,1515,"Arriba Rd",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1604 ELEVENTH ST",Stockton,CA,37.928074,-121.26181,1,range_interpolation,1604,"Eleventh St",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"E SEVENTH ST/PHELPS ST",Stockton,CA,37.932763,-121.266265,0.8,intersection,,"E 7th St",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"1548 SIKH TEMPLE ST",Stockton,CA,37.938123,-121.276011,1,rooftop,1548,"Sikh Temple St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1507 ARRIBA RD",Stockton,CA,37.928937,-121.264222,1,rooftop,1507,"Arriba Rd",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"174 HORTON AV",Stockton,CA,37.922549,-121.282622,1,rooftop,174,"Horton Ave",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"323 E FIRST ST",Stockton,CA,37.93832,-121.28262,1,rooftop,323,"E 1st St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1935 S HUNTER ST",Stockton,CA,37.931811,-121.283116,1,rooftop,1935,"S Hunter St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1624 TWELFTH ST",Stockton,CA,37.927256,-121.259737,1,range_interpolation,1624,"Twelfth St",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"1537 SPRING ST",Stockton,CA,37.932671,-121.264398,1,rooftop,1537,"Spring St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2113 PHELPS ST",Stockton,CA,37.932177,-121.266303,1,rooftop,2113,"Phelps St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1507 TWELFTH ST",Stockton,CA,37.926947,-121.263237,0.9,rooftop,1507,"12th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"620 W MARTIN LUTHER KING BL",Stockton,CA,37.936797,-121.295591,1,rooftop,620,"W Martin Luther King Jr Blvd",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"33 HOWARD ST",Stockton,CA,37.932115,-121.285044,1,rooftop,33,"Howard St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"N E ST/E FREMONT ST",Stockton,CA,37.964726,-121.261398,0.95,street_center,,"N E St",,,Stockton,CA,"San Joaquin County",95205,US,"TIGER/Line® dataset from the US Census Bureau"
"2717 CERRUTI ST",Stockton,CA,37.925366,-121.261581,1,rooftop,2717,"Cerruti St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"318 E FIFTH ST",Stockton,CA,37.933067,-121.28123,1,rooftop,318,"E 5th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2211 S AMERICAN ST",Stockton,CA,37.929958,-121.276771,1,rooftop,2211,"S American St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1516 TWELFTH ST",Stockton,CA,37.926653,-121.263352,1,range_interpolation,1516,"Twelfth St",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"1932 S CALIFORNIA ST",Stockton,CA,37.932783,-121.278533,1,rooftop,1932,"S California St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1514 E SEVENTH ST",Stockton,CA,37.932714,-121.265513,1,rooftop,1514,"E 7th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1702 S LINCOLN ST",Stockton,CA,37.933864,-121.292429,1,rooftop,1702,"S Lincoln St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2021 SUPERIOR ST",Stockton,CA,37.93512,-121.2622,1,rooftop,2021,"Superior St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1715 BENEDINO CI",Stockton,CA,37.926246,-121.2584,1,rooftop,1715,"Benedino Cir",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1545 ARRIBA RD",Stockton,CA,37.929275,-121.262434,1,rooftop,1545,"Arriba Rd",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2022 S HARRISON ST",Stockton,CA,37.928989,-121.292276,1,rooftop,2022,"S Harrison St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1544 S GRANT ST",Stockton,CA,37.938503,-121.276343,1,range_interpolation,1544,"S Grant St",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"1650 ELEVENTH ST",Stockton,CA,37.92848,-121.2614,1,range_interpolation,1650,"Eleventh St",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"247 W MARTIN LUTHER KING BL",Stockton,CA,37.938258,-121.291027,1,rooftop,247,"W Martin Luther King Jr Blvd",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"369 MOSSWOOD AV",Stockton,CA,37.92309,-121.288134,1,rooftop,369,"Mosswood Ave",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"523 W EIGHTH ST",Stockton,CA,37.927359,-121.292562,1,rooftop,523,"W 8th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"421 E EIGHTH ST",Stockton,CA,37.929979,-121.278759,1,rooftop,421,"E 8th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"421 E FIRST ST",Stockton,CA,37.938509,-121.281459,1,rooftop,421,"E 1st St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"848 E FIRST ST",Stockton,CA,37.93921,-121.275429,1,rooftop,848,"E 1st St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1428 S GRANT ST",Stockton,CA,37.939861,-121.276311,1,rooftop,1428,"S Grant St",,,Stockton,CA,"San Joaquin County",95206,US,"San Joaquin County"
"2041 S CALIFORNIA ST",Stockton,CA,37.931687,-121.279023,1,rooftop,2041,"S California St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2045 S CALIFORNIA ST",Stockton,CA,37.931528,-121.278979,1,rooftop,2045,"S California St",,,Stockton,CA,"San Joaquin County",95206,US,"San Joaquin County"
"2403 TIFFANY ST",Stockton,CA,37.930118,-121.26034,1,rooftop,2403,"Tiffany St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2480 S MADISON ST",Stockton,CA,37.924918,-121.284848,1,rooftop,2480,"S Madison St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
